"Title","Location","Company","Field4"
"Software Engineer","Salt Lake City, UT","Packsize3.5","Software EngineerSalt Lake City, UT, USAWhy Packsize?www.packsize.comEver wonder why the products you order arrive in an oversized box filled with air pillows? Packsize ensures that every product can ship in the smallest box possible. Our custom packaging solutions save time, money, and the environment.We face interesting challenges every day, and not just with boxes! We are a technology company that understands the importance of being at the front of new and innovative technologies to solve those challenges. Our software drives measurable differences in our customers success. Our solutions are industry leading and used at both small and very large enterprises around the world.What Engineering DoesWe work in a Lean-Kanban environment (without ceremonies) as cross-functional teams who develop new products, services, and features of the Packsize platform for our on-demand box making machines, integration with other systems, optimizing complex workflows, and more. We are highly collaborative with Product Managers, UX, senior management, stakeholders, and our customers. We are continuously looking at the health of our engineering culture and how we can learn and improve. We also investigate new technologies and how we will leverage them to solve problems in new and better ways including IoT, cloud, and stream analytics.Your ExperienceAs a Software Engineer at Packsize, you will collaborate on a cross-functional team to help them deliver world-class experiences and value for your customers. You will help drive the direction of the product with a continuous evaluation of the existing systems. You will engage in data-driven decisions and validation of assumptions, architectural decisions, and other technical activities.We have been using C#, RabbitMQ, and MongoDB and are actively pursuing React, NodeJS, CosmosDB, Azure or AWS technologies. We are empowered to will learn the problems of our customers and determine the best technical solutions for our platform. We are notconcerned if you havent worked with our tech stack as we have a greater preference for these attributes:	You are strong, proactive, and driven to deliver valuable, world-class experiences to your customers.You understand collaboration across teams is essential to success. We win or lose as a team.You focus on results over process.You value and take responsibility for the quality of features and code.You are an excellent communicator. You welcome honest and candid feedback.You love to learn and to solve hard problems!Job SnapshotEmployment typeFull-time BackgroundBachelor's degree in Computer Science, Engineering or related field, or equivalent training, fellowship, or work experience. LocationSalt Lake City, UT, USAAbout Packsize:Founded in 2002 and headquartered in Salt Lake City, Packsize is the worlds leading provider of lean packaging systems for businesses with corrugated packaging needs. Consistently recognized by Inc. 5000, ranked by Deloittes Technology Fast 500, and named one of America's Most Promising Companies by Forbes, Packsize delivers Smarter Packaging for a Healthy Planet® through On Demand Packaging®.Packsize is an Equal Opportunity employer and is committed to diversity in its workforce. In compliance with applicable federal and state laws, Packsize policy of equal employment opportunity prohibits discrimination on the basis of race or ethnicity, religion, color, national origin, sex, age, sexual orientation, gender identity/expression, veterans status, status as a qualified person with a disability, or genetic information. Individuals from historically underrepresented groups, such as minorities, women, qualified persons with disabilities, and protected veterans are strongly encouraged to apply. Reasonable accommodations in the application process will be provided to qualified individuals with disabilities."
"Software Engineer","Dallas, TX","Toyota North America - Financial Services3.6","Who we areCollaborative.Respectful. A place to dream and do. These are just a few words that describewhat life is like at Toyota. As one of the world’s most admired brands, Toyotais growing and leading the future of mobility through innovative, high-qualitysolutions designed to enhance lives and delight those we serve. We’re lookingfor diverse, talented team members who want to Dream. Do. Grow. with us.An important part of the Toyota family is Toyota FinancialServices (TFS), the finance and insurance brand for Toyota and Lexus in NorthAmerica. While TFS is a separate business entity, it is an essential part ofthis world-changing company – delivering on Toyota’s vision to move peoplebeyond what’s possible. At TFS, you will help create best-in-class customerexperiences in an innovative, collaborative environment.Who we’re looking forTheTFS IDS Department is looking for a passionate and highly-motivated SoftwareEngineer. The primary responsibility of this role is responsible for the fulldevelopment lifecycle process that translates business requirements intofunctioning software systems, services and solutions aligned to a DIO orspecific portion of the application portfolio. Reporting to the Tech Factory Owner] , the person in this role willsupport the IDS department's objective to Help determine feasibility,requirement impact on systems, and work estimates based on business request.What you’ll be doing As a Spring Java Software Engineer within our technology group, you will work as a member of an Agile team with business and IT leadership to understand IT business strategy and their implication to application(s) under responsibility. You will be accountable to Business and Technology Management for end to end application scoping, planning, development, implementation and post-implementation maintenance and support. For each project, you will work with a team of experienced analysts and developers to translate business and technical requirements into application modules. You will contribute to the development of models by providing design recommendations and developing and integrating programs per written specifications. You will deliver software application modules using disciplined SDLC processes.What you bring   8 – 12 years’ industry experience Experience with performance architecture, tuning and debugging distributed systems.  Mastery of SOA architecture and enterprise services implementation Mastery of database design for applications and familiar with Information Management / Data Management  Possesses excellent verbal and written communication and interpersonal skills and the ability to interface with leadership and all levels of associates. Experience with Open Source Development Demonstrated success as Solution Architect on both large and small projects Project Management – familiar with project management principles  Demonstrated continued knowledge acquisition of emerging technologies   Ability to work independently, with strong organizational and flexibility skills in a team-oriented environment.  Experience in agile methodology. Good hands on experience in developing microservices using SpringBoot is a must. Working experience in implementing CICD process using JENKINS.  Knowledge of AWS cloud environment with Kubernetes as a platform.  Idea of messaging services like Kafka, Kinesis etc.  Should have implemented projects in Integration space.  Knowledge of Docker, Mongo DB is good to have.What we’ll bringDuring your interview process, our team can fill you in on all the details of our industry-leading benefits and career development opportunities. A few highlights include:   A work environment built on teamwork, flexibility and respect  Professional growth and development programs to help advance your career, as well as tuition reimbursement  Vehicle purchase & lease programs  Comprehensive health care and wellness plans for your entire family Flexible work options based on business needs Toyota 401(k) Savings Plan featuring a company match, as well as an annual retirement contribution from Toyota regardless of whether you contribute Paid holidays and paid time off Referral services related to prenatal services, adoption, child care, schools and more Flexible spending accounts Relocation assistance  Onsite amenities such as fitness center, restaurants, etc.What you should knowOur success begins and ends with our people. We embrace diverse perspectives and value unique human experiences. We are proud to be an equal opportunity employer that celebrates the diversity of the communities where we live and do business. Applicants for our positions are considered without regard to race, ethnicity, national origin, sex, sexual orientation, gender identity or expression, age, disability, religion, military or veteran status, or any other characteristics protected by law.Have a question or need assistance with your application? Check out the How to Apply section of our careers page on Toyota.com!"
"Software Engineer","Okemos, MI","TechSmith Corporation4.1","Why You'll Love Working Here:Being a TechSmithie allows you to work creatively to solve real problems for people and businesses in an innovative and collaborative environment. We are a home-grown, mid-sized company that has achieved global success. We deliver screen capture and video creation software, including Snagit, Camtasia, and Relay, to over 30 million professionals, from individuals to Fortune 500 Companies.This doesn't happen accidentally. Through employee investment and professional development, we continually prioritize our talent to make sure things are done right. From interns to senior leaders we work side-by-side to make transparent company decisions, strive for continuous improvement, and live by the values, empowerment, inclusivity, integrity, and respect that we embody as a company.With amazing products and people, we look for fun and talented individuals who are passionate about working on the bleeding edge of technology. If this sounds like you, keep reading!Position Overview:As a Software Engineer at TechSmith, you will be putting your problem-solving skills and passion for developing great software to use every day. You will work within a team, building world-class software products, on multiple platforms, in a fun, collaborative environment. Responsibilities include: participating in an agile team, programming, estimating upcoming work, reviewing completed work with teammates, as well as other duties, as assigned. If you love technology, finding solutions, and making people happy—you will fit right in.At TechSmith, every individual can make a big impact while working in a supportive team environment. As part of an agile team, you will have a voice in helping to decide what assignments the team tackles. While working directly with User Experience Designers and Product Owners, you will help to decide how to solve our customer’s requests. With the help of Software Test Specialists and your teammates, you will have the time and support to fully test your solutions and create quality work. When you are not coding solutions for customer problems, you will have the time to advance your skills and your career with the help and support of your programming lead and manager. The TechSmith agile process is set up to give you the opportunity to dedicate entire sprints to innovation, self-guided work, or professional development multiple times a year.Open Positions:Windows Desktop DeveloperMac Desktop DeveloperRequired Skills and Background:Bachelor's Degree in Computer Science, or a closely related field, with at least 6 months experience developing software in internships, school or personal projects, or other related development experience. For individuals without a Bachelor’s Degree in Computer Science, or a closely related field, 3 years experience developing softwareExperience in an object-oriented programming language. Programming languages and technologies used at TechSmith include C++, C#, Objective-C, Objective-C++, Swift, JavaScript, React, and Microsoft Azure Services. Having experience in some of these technologies is preferred.Windows Desktop Developer: Experience preferred in C# and/or C++Mac Desktop Developer: Experience preferred in one or more of the following languages, Swift, Objective-C, Objective-C++, and C++Demonstrable experience developing softwareExperience in, or desire to, develop desktop applications for Windows or MacStrong understanding of computer science fundamentals and software engineering principles, processes, and best practicesAbility to collaborate with other software engineers, and a diverse set of people from many disciplines, in an agile development process including participating in code reviews, working with version control systems such as Git, pairing when needed, and testing software changesWillingness to relocate, or commute to, the TechSmith office in Okemos, MichiganYou must be legally authorized to work in the United States without an employer-sponsored petition for a visa, such as an H-1B visa. TechSmith does not intend to file any visa applications in connection with this opening.Preferred Skills and Background:Experience with automated testing frameworks, writing automated tests, and test-driven developmentFamiliarity with Agile development processes including working in sprints, planning, estimation, prioritization, scoping, and demoingKnowledge of software design patterns and ability to apply themCommercial software development experience, especially with multimedia productsExperience working on large codebases collaborating with multiple people spread out across several teams.Dedication to continuous learning in order to stay up to date on the latest technologiesWillingness to mentor teammates, and to be mentored, in order to teach and learn new codebases and technologiesCompensation and Perks:At TechSmith, we love our employees and are always looking for ways to reward outstanding performance. Our compensation is competitive and based on skills and experience. As a full-time employee you will receive the standard TechSmith benefits package including health insurance, paid time off, 401(k) program, etc. A casual work environment, company-sponsored events, free Friday lunches, and kitchens stocked with snacks and soft drinks are just a few of our additional perks. We offer you a unique and growing company value where you can enjoy your work and advance your career. If this sounds like a place you would like to work, please submit your resume and cover letter.TechSmith Corporation is an equal opportunity employer and will consider all candidates for employment without regard to race, color, religion, sex, national origin, age, sexual orientation, gender identity, disability status, protected veteran status, or any other characteristic protected by law.If you have a disability and require reasonable accommodation for any part of the employment process, please call 517-381-2300 x212 or email recruiters@techsmith.com with a description of your request and contact information."
"Developer","Coral Springs, FL","Business Watch International (U.S.) Inc.","DeveloperCoral Springs, FloridaInternet-based Data Management System ProviderBusiness Watch International is a rapidly growing company that provides data management software to law enforcement agencies and businesses throughout North America. We are searching for additional Developer to join our team.Job Description:Application design and DevelopmentDatabase design and ManagementWeb Application Development using:ASP.NETAngular Js 1.6C# Project ManagementClient RelationsMonday - Friday office hours with an on-call rotation.Experience in the following application development technologies preferred:ASP.NET / C#HTML / DHTML / JavaScriptXML / XSLTSQL Server 2008/2012Database administrationLDAPActive DirectoryMicrosoft .net 1.1, 2.0 and 3.5VBscriptClassic ADO and ADO.NetWindows Presentation FoundationWindows Communication FoundationExperience with the following tools preferred:Microsoft Visual Studio 2008/2010/2012Microsoft Windows 2008/2012 Server / IISMicrosoft Active DirectoryMicrosoft SQL ServerSQL Analysis ServiceExperience in the following dimensions preferred:.NET Class Framework DesignBusiness IntelligenceData MiningData Warehouse / OLAPDatabase DesignProject ManagementTeam LeadershipWeb DevelopmentLINQ to SQLLINQ to XMLLINQ to ObjectsActive Directory"
"Staff Design Verification Engineer","San Jose, CA","Xilinx3.8","DescriptionAt Xilinx, we are leading the industry transformation to build an adaptable, intelligent world. ARE YOU bold, collaborative, and creative? At Xilinx, we hire and develop leaders and innovators who want to revolutionize the world of technology. We believe that by embracing diverse ideas, pushing boundaries, and working together as ONEXILINX, anything is possible. Our culture of innovation began with the invention of the Field Programmable Gate Array (FPGA), and with the 2018 introduction of our Adaptive Compute Acceleration Platform (ACAP), has made a quantum leap in capability, solidifying our role as the adaptable platform supplier of choice. From the start, we have always believed in providing inventors with products and platforms that are infinitely adaptable. From self-driving cars, to world-record genome processing, to AI and big data, to the world’s first 5G networks, we empower the world’s builders and visionaries whose ideas solve every day problems and enhance people’s lives.If you are PASSIONATE, ADAPTABLE, and INNOVATIVE, Xilinx is the right place for you! At Xilinx we care deeply about creating meaningful development experiences while building a strong sense of belonging and connection. We foster an environment of empowered learning, wellness, community engagement, and recognition, so you can focus on work that matters – world class technology that improves the way we live and work. We are ONEXILINX.The Silicon development team is looking for a leader in Xilinx, for the verification of next generation DSP processors in SiliconResponsibilities include the following:Will be leading a small team of verification engineers in Xilinx, and work with a cross geographic team to verify a next generation DSP architecture in SiliconWork with Architecture, design and software teams to drive the verification of the next generation DSP processorsDevelop different verification platforms in SystemC/System Verilog including utilization of Emulation/Prototyping platforms for verifying next generation multi-core DSP designsVerify the architecture and performance of the designWork with Architecture and Software teams to ensure micro-architecture and design is fully verified/validated across multiple platformsResponsible for a comprehensive verification plan and drive the implementation of verification test cases from applications and other sources#mhQualifications:BS with 8+ years of experience or MS with 6+ years of experience or PhD with 3+ years of experience with a degree in electrical engineering, computer engineering or related equivalent Experience in the verification of CPU/Video/DSP/vector processors, SIMD, etc. Experience in specifying and developing the verification infrastructure for verifying CPU/DSP/Vector-datapath designsStrong foundation in SoC architecture and verification of multi-core processors including SIMD, Vector processors, floating point, etc. is a plusStrong analytical problem solving, and attention to detail Strong experience in HDL, verification, and general computational logic design/verification conceptsExpertise in Verilog/System Verilog, C/C++/SystemC, UVM, Scripting languages like Perl/Python, etc.Excellent written and verbal communication skills Excellent interpersonal skills, self-motivated ]]>"
"Software Engineer","Boston, MA","Liberty Mutual Insurance3.3","We deliver our customers peace of mind every day by helping them protect what they value most. Our passion for placing the customer at the center of everything we do is driving a transformational shift at Liberty Mutual. Operating as a tech startup within a Fortune 100 company, we are leading a digital disruption that will redefine how people experience insurance.About the job:The candidate will be part of a talented agile team working to build the next generation of products and solutions within the Digital & Direct business unit. We are seeking experienced, motivated Software Engineers to participate in the development of enterprise class APIs and microservices. You will be engaged in challenging, innovative projects that impact millions of customers.The industry changes quickly, so we are looking for candidates who can respond to change, pick up new technologies quickly and adapt to changing requirements. We also want candidates who take pride in their work and have strong design and development expertise. We value quality code delivery and expect candidates to demonstrate competence at writing, testing and debugging complex Java code.Your role and responsibilitiesYou will collaborate closely with a team of technologists, analysts, developers and test engineers to deliver complex software solutions.Drive full cycle end to end development from design through implementation.The role requires hands-on development, problem resolution and knowledge of various horizontal and vertical packages - spanning across all layers of our technical stack.In an Agile environment, work with business team members, product owners, and other software engineers to review and qualify business requirements, functional specifications, use-cases, and test plans.Design, prototype and author code for software components and applications based on functional specification and optimize them for system performance.Qualifications:Bachelor's Degree in technical discipline preferably computer science or software development.Generally 3+ years of professional development experience.Moderate knowledge of IT concepts, strategies, methodologies, architectures and technical standards.Excellent analytical, problem solving, and communication skills.Experience with layered system architectures and layered solutions; understanding of shared software concepts.Java development experienceExperience working with agile methodologies (Scrum, Kanban, XP) and cross-functional teams (Product Owners, Scrum Masters, Developers, Designers, Test Engineers) Ideally familiar with Design Thinking, Behavior and Test-Driven DevelopmentExperience with HTML, JavaScript, XML/XSD, Web Services.Experience with Unit Testing frameworks (e.g., Junit, Mockito).Experience with IBM Integration Designer, WebSphere Integration Developer (WID) is a plus.Experience with Spring Boot and/or Docker is a plus.Experience with cloud services such as Amazon Web Services is a strong plus.Experience integrating with and managing microservices exposed via SOAP and/or REST APIs including development and support of Java services a strong plus.Benefits:We value your hard work, integrity and commitment to positive change. In return for your service, it's our privilege to offer you benefits and rewards that support your life and well-being. To learn more about our benefit offerings please visit: https://LMI.co/BenefitsOverview:At Liberty Mutual, we give motivated, accomplished professionals the opportunity to help us redefine what insurance means; to work for a global leader with a deep sense of humanity and a focus on improving and protecting everyday lives. We create an inspired, collaborative environment, where people can take ownership of their work; push breakthrough ideas; and feel confident that their contributions will be valued and their growth championed.We're dedicated to doing the right thing for our employees, because we know that their fulfillment and success leads us to great places. Life. Happiness. Innovation. Impact. Advancement. Whatever their pursuit, talented people find their path at Liberty Mutual."
"Senior Software Development Engineer - Front End","Miami, FL","OfferUp3.3","OfferUp is dedicated to building the simplest and most trustworthy way for people to buy and sell in their communities. Every year, millions of people use OfferUp to buy and sell locally, resulting in billions of dollars of local commerce. As the largest mobile marketplace for local buyers and sellers in the U.S., our iOS and Android app has been in the top five most popular shopping apps lists for more than three years. Join us as we build the marketplace of the future and help more people discover value right where they are.At a Glance85+ Million DownloadsGeekwire App of Year15%+ of adults in several markets use OfferUp every month (LA, Miami, Phoenix, Seattle, Las Vegas, Riverside, Orlando)OfferUp is looking for an experienced Front End Engineer to be a founding member of our new Miami, FL office. You will have the opportunity to help our growing team across a wide variety of features and technologies, and your work will help millions of users find value locally.ResponsibilitiesYou will provide effective communication of your ideas within and across teams to create the right outcomes for your team and customersYou will play a key technical leadership role on your team driving design, implementation, and delivery.Manage the quality and efficiency of your code, design, and implementation set a great example of best practices for engineers.Actively participate in mentorship of others through code and design reviews, helping improve skills, and teaching best practices.Requirements7+ years of overall software development experience5+ years of experience in Front-end focused Software Development (HTML, CSS, Javascript)5+ years of experience with cross browser compatibility, client side security, browser tuning and optimization techniques/tools5+ years of experience in multi-tier large scale web architectureKnowledge in web optimization performance, and design patterns e.g. responsive design vs optimized designProficient in 1 or more core languages (e.g. Java, C++, Python, Ruby, and Node.js)Understands front-end software best practices including client side performance optimization and how to mitigate information security risks.Understands software engineering best practices (e.g. automated pipelines, Operational Excellence, Information Security) and sets front-end software and UX implementation standards.Experience with deployments, dev ops, and / or AWSExperience in HTML5, JavaScript, CSS3 are requiredExperience working on Single Page Application (SPA), APIs, architectural patternsExcellent communication skills, ability to work independently or work with a cross-functional teamExperience with Agile Process.Experience with Unit Testing/CI/CDExcellent communication skills both written and spoken (fluency in English required)Nice to haveStrong sense of ownership, urgency, and drive, and a track record of deliveryPassion for building new products in a fast paced, team-oriented environmentExperience around any of the following: web package managers, Bower, bundler system, NodeJS, Python, webpackExperience with AWS Cloud infrastructureSEO experience is a plusOfferUp is changing the way people buy and sell locally...Come do work that matters. join the team and take the ride of your life!OfferUp provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, sex, national origin, age, disability or genetics. In addition to federal law requirements, OfferUp complies with applicable state and local laws governing nondiscrimination in employment in every location in which the company has facilities. This policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, transfer, leaves of absence, compensation, and training.OfferUp expressly prohibits any form of workplace harassment based on race, color, religion, gender, sexual orientation, gender identity or expression, national origin, age, genetic information, disability, or veteran status. Improper interference with the ability of OfferUp's employees to perform their job duties may result in discipline up to and including discharge."
"Software Engineer","Portland, OR","NWEA3.4","Position DescriptionSoftware EngineerPosition summaryNWEA employs Software Engineers to achieve craftsmanship level development of software applications for clients and internal users. All Software Engineers are expected to continuously build toward mastery of software languages used or required by NWEA. Software Engineers work collaboratively with all participants on software development projects and may be called upon to fulfill functions related to software development that are not specifically application programming, such as requirement gathering and quality assurance testing.The Software Engineer creates high-quality craftsmanship-level software for NWEA clients and internal users, and are expected to be proficient in the software languages used or required by NWEA. This includes meeting all requirements/ specifications, testing/QA requirements, methodologies and other NWEA software/product requirements. This position must be adaptable to changing technology environments, and work collaboratively with all participants in a software development project. The Software Engineer may be called upon to fulfill functions related to software development that are not specifically software programming, such as requirements gathering, producing documentation, quality assurance testing, mentoring other developers, and leading projects. As required, this position provides guidance to the junior Software Engineer positions.ResponsibilitiesWrite awesome codeCreate prototypes to help clarify software requirementsCreate realistic design specification documents from software requirementsPlan and perform development tasks from design specificationsProvide accurate time estimates for development tasksConstruct and verify (unit test) software components to meet design specificationsCollaborate with quality assurance engineers to resolve software defectsCollaborate with project architects and assist team members to prove the validity of new software technologiesEngage and improve NWEA’s software development methodology. Promote agile processes among development and the business, including facilitation of scrums.Perform other duties as assigned to ensure the success of the team and the entire organization Skills and abilitiesExcellent object-oriented design & programming skills, including the application of design patterns and avoidance of anti-patternsExperience working in a collaborative team of application developers and source code repositoriesDemonstrated ability to follow through with all tasks, promises and commitmentsAbility to communicate and work effectively within prioritiesAbility to work under tight timelines in a fast-paced environmentGood understanding of software design conceptsUnderstanding of software development methodologiesAbility to solve complex problemsMust be able to perform the physical and intellectual requirements of the role, with or without accommodationMust be proficient with Java, Lambda, AWS services, S3, dynamo, Node, TerraformEducation and experienceMinimum Bachelor’s degree in computer science or a related field; or an equivalent combination of education and experience will be considered in lieu of a degreeMinimum of 2 - 4 years progressive experience in a software development Proven experience having designed one or more major components of an application, preferably of a software product. Proven experience working across multiple tiers of an application, including a database, network, operating system, and containers.Experience working in an AGILE environmentExperience working in a SCRUM environment Administrative Use:HoursFull-TimePay GradeIReports ToManager, Software Engineering EEOCProfessionalWC8810LocationPortland, OR FLSA ClassificationExemptLast UpdatedJune 2017"
"Software Engineer","Menlo Park, CA","Alteryx3.6","This is a rare opportunity to get in at the ground-floor of a re-platform of the core Alteryx product. We’re looking for a highly motivated engineer to help us build the next generation of the flagship Alteryx product, Alteryx Designer.This tool serves a wide range of users from Data Scientists, deploying and managing predictive models and real-time decision APIs, to novice Excel users who want to become far more productive using simpler tools.We need someone who can take features from start to finish. This might mean building a new UI interaction with TypeScript, solving new architectural problems, configuring pipelines for deployment or doing technical investigations in products written in other languages. In other words, you're an engineer who can quickly turn ideas into living, breathing, production-ready features. The core engineering team is small, so there are opportunities to grow your skills in many areas of software engineering and delivery.Required Skills:ReactRedux Thunks or SagasTypeScript (familiarity)Node.js / Express.jsMaterial UI or equivalent component libraryDockerRelational databaseNice to Have’s:Experience with building RESTful APIsOpen source contributionsAutonomous and self-driven engineerAgile / Lean practicesWorking with other engineering teams, product, and UI/UXRapid prototypingBe the expert on industry UX / design best practices and have an understanding of design systems.Unit and integration testingCode reviewsDesire to learn (and apply) new skills CP1"
"RN, Registered Nurse- Pedi Surgical Care","Houston, TX","CHRISTUS Health3.4","DescriptionProvides professional nursing care for the comfort and well-being of patients. Prepares equipment and assists physician during examinations and treatments. Administers prescribed medications, changes dressings, cleans wounds, and monitors patient vital signs. Observes and maintains records on patient care, condition, reaction, and progress.RequirementsEducation:Graduate of an accredited school of nursing with active RN Texas licensure. Experience:All newly licensed RNs with less than 6 months' experience must participate in the CHRISTUS Santa Rosa Residency Program. An individualized learning plan will be developed through completion of the Performance Gap Analysis and competency completion will be documented through the program's tracking software.Licenses, Registrations, or Certifications:Registered Nurse with valid Texas LicenseBLS Certification required; ACLS certification highly desired/recommended. Current specialty certification as required. Must have working knowledge of the nursing process as well as in depth knowledge of therapeutic, physical, psychosocial, spiritual, cultural, and developmental needs for a select category of patients.Good communication skills, both written and verbal."
"Senior iOS Software Engineer - Relocation to Phoenix","Detroit, MI","Nikola4.3","DescriptionSENIOR iOS SOFTWARE ENGINEERYou’re passionate about a zero-emissions future and want to build something special. You want to own your space, and partner with like-minded people on important projects. The pace doesn’t scare you, it EXCITES you.YOU WILL HAVE ACCOMPLISHED:3+ years of Swift experience requiredExperience and expertise with iOS and Swift from conceptual design, development, test, documentation, debug, validation, deployment and maintenancePrefer some experience with Objective-C, Kotlin, Android, Ruby, HTML, JavaScript, CSSYOU BRING:A minimum of 3+ years Swift & some Objective-C experienceA college degree or equivalent experience in software-related fieldsYou will be a Full Time Employee @ our new Phoenix Headquarters. Sorry, No remote employees.My name is PT, SR. Tech Recruiter, and if you apply, I will reply back to you! Thx…Drive Forward! Introduce yourself to us and let’s start a conversation!"
"Software Developer","Ogden, UT","PDCflow","Who we are looking for: We are looking for a full-time Software Developer to join our team.In this role, you will:Develop software and maintain current software code, including automated testsPerform testing/debugging of current and updated softwareComplete code reviews on various projectsParticipate in planning and design meetingsResearch appropriate technologies for a given projectAssist with documentation to create end-user and functional documentationWhat you need to be successful in this role: You must be a positive thinker and have the ability to help build a reliable product built on sound technical methods.Additional things to help you be successful are:3+ years of Java and web application developmentExperience with Apache, PHP, Relational DatabasesExperience with Agile Software development environmentsExperience in a PCI level 1 development organizationWhat you will love about us: Located in downtown Ogden, UT we offer the following:Competitive salaryVery stable & challenging workJoining a company who highly values their employeesCasual environmentMedical, dental, life, disability, generous paid time off, holiday payBi-monthly massagesCompany celebrationsRecreational allowance - Yes we pay you to have fun!Much moreWho we are: PDCflow is a leader in payment management software for the accounts receivable industry. We service a wide range of clients such as debt collection agencies, medical billing companies, hospitals, law firms, insurance agencies, and credit unions. Our comprehensive suite of products includes ACH processing, online payment portals, recurring payments, recovery scoring, IVR payments, eSignature, document delivery, and eBill presentment.Qualified applicants receive equal consideration. No question is asked for the purpose of excluding any applicant due to race, color, national origin, religion, age, sex, disability, or any other factor prohibited by law or regulation. PDCFLOW IS AN EQUAL OPPORTUNITY EMPLOYER (M/F/D/V).PDCflow participates in E-Verify. Through participation in the E-Verify program, PDCflow electronically verifies the employment eligibility and Social Security Number of all new hires."
"Software Engineer","Pittsburgh, PA","LendingHome4.0","LendingHome is re-imagining the mortgage process from the ground up by combining innovative technology with an experienced team. Our goal is to create a seamless, transparent process that transforms the mortgage process from end to end.The work location for this position can be flexible. This position can be based in our San Francisco, CA or Pittsburgh, PA office locations. For candidates with prior experience working remotely we are open to US-only remote as well.The TeamWith our built-from-scratch technology that covers every stage of the loan process, LendingHome has opened access and simplified a way for people to get financing and generate wealth through real estate. Since 2013, LendingHome has funded over $3.5 billion dollars worth of loans across 15,000+ projects, making it the largest fix and flip lender in the country. Combining the best technology and the most knowledgeable people, LendingHome has raised $167MM in venture capital, has grown to a team of over 300, and has been featured on the Forbes Fintech 50 list for two years running. LendingHome is uniquely positioned to become the next great financial services brand powered by the most advanced mortgage platform in the world.The RoleYou will help lead the development of the next-generation end-to-end mortgage platform; you'll help drive alignment on your team, across teams, and with cross-functional partners, ensuring that we are making a positive impact on the business. You will develop domain expertise to design and build well-tested web applications and services, publish APIs, consume APIs from 3rd-party sources, and develop tools that enhance daily productivity. You are product oriented and a self-starter, a strong partner to internal teams such as product management, design, data, loan operations, sales, and marketing. You will help mentor your peers and less experienced engineers. You understand and can articulate tradeoffs. You are focused on building leverage into the team.Qualifications:Typically 7+ years of developing software; ideally at a startupTechnical leadership including driving technical strategy across multiple engineering teams, working with cross-functional partners, and mentoring other developersHas worked on projects from initial concept through development and deployment and beyond, with minimal oversight neededStrong and recent development in a large application codebaseHas worked in large multi-team environmentsFamiliarity with web analytics and reportingExperience with monolithic and multi-app environmentsLendingHome in the NewsWinner: Forbes Fintech 50LendingHome Passes $3 Billion in Mortgage NewsHow Wall Street, Silicon Valley Institutionalized Home FlippingA Tour of LendingHome's New San Francisco HeadquartersRiding the House Flipping Boom, Mortgage Lender Adding More Jobs on North Side Benefits and Perks Career Growth: We foster an environment that encourages opportunities to use your voice, make an impact, and move towards your long-term goals.Lunch & Snacks: Hungry? We have you covered! Enjoy catered lunches and Bagel Wednesdays—and don't forget to take your pick of healthy snacks and drinks daily from our fully stocked kitchen.Work-life Balance: With our flexible time off policy, you can enjoy a well-rounded lifestyle while easily balancing work, travel, loved ones, and passions.Family Matters: We know your role here might not be the only one you have. Enjoy your job as a parent and welcoming your new bundle of joy with our competitive parental leave policy.Commuter Benefits: Travel from A to B without the stress. We help you save money on your commute to work with pre-tax deductions and a monthly stipend.Product Ownership: We recognize your hand in making our business great. With offered equity, you can claim your stake in our growth.Health Insurance: Your well-being is important to us. Our comprehensive medical, dental, and vision plans ensure that your mind and body are in good keeping.If you'd like to see more about what LendingHome has to offer or explore additional opportunities, visit us at LendingHome.com/Careers.LendingHome is an Equal Opportunity EmployerSan Francisco Fair Chance Ordinance Police Code, Article 49"
"Software Engineer","Salt Lake City, UT","Galileo Financial Technologies4.4","Software EngineerWho we are:Galileo is one of the largest payments processors and program managers in North America. We are the only payments innovator that applies tech and engineering capabilities to empower FinTech and financial institutions to unleash their full creativity to achieve their most inspired goals. Galileo leads its industry with superior fraud detection, security, decision-making analytics and regulatory compliance functionality combined with customized, responsive and flexible programs to accelerate the success of all payments companies and solve tomorrow's payments challenges today. We hire passionate, creative people. We focus on education, health, outdoor living, and our company values. The result-highly energetic and dedicated co-workers, and a highly productive, engaging, and a comfortable work environment.What we are looking for:We are looking for smart, creative, talented software engineers. If this is you and you have experience building real-time, high-performance, transactional, backend applications in Python or C, then I want to meet with you.If you are looking for a place to learn new skills and work in an environment where you contribute directly to the success of the company, and you want to have direct input into the future and designs of the applications you build, and you want to work on a team of likeminded creative and talented engineers, then you should want to meet with us.What you'll be doing:Create solid high performing server applications for payment processing.Design, code, debug and test backend programs/database applications using C, Python, and SQL.Provide insight and expertise in improving existing programsWhat you will need:Broad based programming skillsThorough knowledge of general computer scienceExperience with C programming, Python, RDBMS, SQL, Linux and OracleStrong understanding of relational database conceptsExcellent technical aptitude and ability to solve problemsAbility to work in a quick-paced, evolving environment.Positive attitude and exceptional work ethicAbility to collaborate with others within the organizationBachelor's degree in Computer Science or equivalent degree or experienceGalileo has a very competitive compensation and benefits package including medical, dental, tuition reimbursement, a 401k match, education assistance, life insurance, and long term disability with the opportunity to purchase other benefits.0Job Posted by ApplicantPro"
