"job_title","company","location","description"
"SOFTWARE ENGINEER","HCL Americas","King County, WA","To develop and deliver codes for the work assigned in accordance with time| quality and cost standards. (1.) Documentation work (2.) To develop the codes for the project as per work assignation. (3.) To maintain the existing project and resolving the issues occurring in the existing project. (4.) To work upon the new requests raised by the client and develop those features."
"Siri - ML Platform Infrastructure Software Engineer","Apple","Santa Clara Valley, CA 95014","SummaryPosted: Nov 5, 2019Weekly Hours: 40Role Number: 114045938Siri is heavily focused on improving our backend technologies to support the machine learning efforts that improve our customer experience. The Siri ML Platform Infrastructure Engineering team is growing to support this ever-expanding need. They drive the design and implement advanced solutions to maximize our compute capacity across the globe while delivering a unified solution across both compute and GPU resources.The Siri ML Platform Infrastructure Engineering team has several challenges ahead in order to make use of all potential resources for machine-learned pre and post-processing jobs. The work executed by this team will define a unified approach to the machine learning processes within Siri and lead the way for other groups at Apple.Key QualificationsYou have 5+ years of industry experience working with large-scale distributed systemsYou have experience with all aspects of software development from architecture to requirements gathering, deployment and maintenance in a large scale 24/7 service environmentEngineering lead on at least three customer-facing features with year-long development cyclesExpert knowledge of one or more object-oriented or concurrent programming languages (Go, Java, Scala, Python, Ruby, C++)You have experience with machine learning workflowsExperience with one or more cloud applications services (AWS, Azure, Google cloud)You have familiarity with open source software used in large scale distributed systems environments in particular for:Platform as a Service (Mesos, Kubernetes, Docker)Service Discovery (Zookeeper, Consul)Distributed Log & Message queues (Kafka, RabbitMQ)Time Series Databases (Graphite, OpenTSDB, Prometheus)You have strong communication skills and experience working on cross-functional projectsDescriptionLead the design, development, and delivery of software to capable of optimizing Siri’s resource usage in a large scale distributed environment.Design and drive solutions for cross functional distributed systems projects. Enabling other teams in Siri and across Apple to use a common computational infrastructure for a wide variety of use cases, from production services and machine learning training.A successful candidate will have experience in system design and architecture as well as a strong background in development.Education & ExperienceB.S. degree in Computer Science or related field and 5+ years of experience or equivalent.Additional RequirementsKnowledge of core Linux fundamentalsScripting skills (Python, Bash, Ruby, etc.)Configuration Management (Puppet / Chef / etc.)GPU programming experience, e.g. CUDA, cuDNNApple is an equal opportunity employer that is committed to inclusion and diversity. We take affirmative action to ensure equal opportunity for all applicants without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, Veteran status, or other legally protected characteristics."
"Software Engineer","Red Angus Association of America","Commerce City, CO 80022","Job DescriptionThe Red Angus Association of America is a member driven Agriculture organization that was established in 1954 and is headquartered in Commerce City, Colorado close to Denver International Airport. The main focus of the organization is the collection and storage of data on cattle. The position we are seeking to fill is responsible for administration and application development for a Postgres based SQL server, and, a web application with Java back end code. This position will join the team of IT specialists that are responsible for all aspects of front-end interfaces, data flow, data analysis, as well as, other duties as needed. A local candidate is preferred, but remote candidates will also be considered.Position ResponsibilitiesMaintain current code base and provide additional functionality as neededProduce fully functional programs, with clean testable codeTroubleshoot and debug applicationsCollaboration with internal and external teams to identify system requirementsDesign user interface and web layout using HTML/CSS best practicesCreate support documentationDesign stable, reliable, and effective database elementsOptimize and maintain legacy systemsModify database according to requests from usersPerform ad hoc data extraction and modificationDevelop unit testsRequirements3+ years experience with the following or similar technologies:Postgres SQLJavaTurbineTorqueJavascriptVelocityPerlScalaBashGitXmlAbility to work independently, but share ideas and seek solutions collaborativelyResponsive to communicationAbility to multi taskPreferred RequirementsExperience with data preparation for statistical analysisExperience with livestock, preferably cattleWork during normal business, with some schedule flexibility to complete time sensitive tasksExperience with mobile app developmentIf interested, please submit a resume as well as 3 references to Halla@redangus.org."
"Java Software Engineer - Web Services - Mid Level","USAA","Phoenix, AZ","Purpose of JobWe are currently seeking talented Java Software Engineers – Mid Level for our Phoenix, Arizona facility.USAA Java Software Engineers create and maintain APIs for our business software applications that our members use. Done well, many may never realize or appreciate how critical these APIs are or how we've made them simpler. Faster. Safer. Yet they help make our members' lives better. It's a great challenge and responsibility.Here, you will invent. You'll design and test. You'll take risks. You'll create new technology, but the impact you'll make on our members will be far more significant.As a Java Engineer, you are expected to be able to function in a fast-paced environment driving innovation through rapid prototyping and iterative development ensuring quality is built into all solutions leveraging TDD. Your responsibilities will require you to be knowledgeable in API development. You will be a part of teams of developers guiding on engineering and architecture best practices as well as demonstrate the ability to partner and engage with other engineers and architects. You will work closely with business clients and UI designers to analyze user requirements, code applications and customize and/or integrate commercial software packages for both internal employees and external member-facing applications across multiple platforms.As a Java Engineer, it will be your responsibility to maintain code integrity and quality.Job RequirementsABOUT USAAUSAA knows what it means to serve. We facilitate the financial security of millions of U.S. military members and their families. This singular mission requires a dedication to innovative thinking at every level. In each of the past five years, we've been a top-40 Fortune 100 Best Companies to Work For®, and we've ranked among Victory Media's Top 10 Military Friendly® Employers 13 years straight. We embrace a robust veteran workforce and encourage veterans and veteran spouses to apply.ABOUT USAA ITOur most important qualification isn't technical, it's human. Here, we don't just sit in front of a screen. We stand behind our 12 million members who rely on us every day. We are over 4,000 employees strong, a passionately supportive and collaborative team built on agile principles. We've been a top-two Computerworld 100 Best Places to Work in IT five years in a row and were recently named a Top 50 Employer for Minority Engineers & IT by Workforce Diversity Magazine.This Job Posting is for multiple openings available in 2019 and 2020.See what it's like to work for a company where your passion meets our purpose:Click here to watch the USAA Java Software Engineer - Web Services Spotlight VideoUSAA Information Technology: A Realistic PreviewUSAA Information Technology: We’re Hiring in PhoenixWith limited guidance performs defect correction (analysis, design, code) on less complex issues and/or codes applications of medium complexity. With guidance begins to install, customize and integrate commercial software packages. Works with more tenured peers to gain understanding of systems while conducting root cause analysis of issues, reviewing new and existing code and/or performing unit testing.Works with experienced team members to conduct root cause analysis of issues, review new and existing code and/or perform unit testing. Learns to create system documentation/play books and attends requirements, design and code reviews. Receives work packages from manager and/or delegates.Understands and assists in gathering and analyzing customer requirements and may respond to outages following the appropriate processes.Partners with experienced team members to develop accurate estimates on work packages. May begin to identify issues that impact availabilityMINIMUM REQUIREMENTSBachelor's degree OR four additional years of related experience in lieu of a degree.AND, 2+ years of software engineering/development experience utilizing Java with experience working with Web Services REST or SOAPPREFERRED2+ years in REST frameworks with focus on API development1+ years in AGILE methodology1+ years experience with JavaScript1+ years experience integrating with backend services like JMS, J2C, ORM frameworks (Hibernate, JPA, JDO, etc), JDBC.Ability to implement container based APIs using a container frameworks OpenShift, Docker, or Kubernetes.Relational Database design and optimization with Oracle DB2, MySQL, PostgresFamiliar with Gradle, GIT, GitHUB, GITLab, etc. around continuous integration and continuous delivery infrastructureExperience testing in REST servicesExperience in design and develop automated test frameworkBENEFITSUSAA's most valuable resource is our 28,000 employees. We promote a culture of diversity and inclusion, encouraging varied perspectives and ideas. Our team enjoys world-class benefits, pay and highly competitive reward opportunities, including comprehensive healthcare, wellness and wealth building programs, employee resource groups, 401K matching dollar-for-dollar up to 8% of pay, career planning and continuing education. We promote a strong work-life balance with a variety of on-site services and conveniences depending on location, including a daycare, health center and pharmacy, multiple dining options, company stores, covered parking and free fitness centers. USAA is a casual dress environment.The above description reflects the details considered necessary to describe the principal functions of the job and should not be construed as a detailed description of all the work requirements that may be performed in the job.At USAA our employees enjoy one of the best benefits packages in the business, including a flexible business casual or casual dress environment, comprehensive medical, dental and vision plans, along with wellness and wealth building programs. Additionally, our career path planning and continuing education will assist you with your professional goals.Relocation assistance is available for this position."
"Software Engineer 2","PayPal","San Jose, CA 95131","Job Requirements:Familiar in developing Node.js applications.Prior internship experience at with customer facing web experiences preferred.Experience in building single page applications using React or other similar modern JavaScript libraries utilized for rendering user libraries.Familiarity with ES6 and newer versions of JavaScript.Experience with GraphQL and REST APIsExperience with CSS and customizing the appearance of UI experiences.Understanding of JavaScript application design and testing using frameworks.Knowledge with cross-browser, cross-platform, and design constraints on the Web.A constant desire to grow, learn, and explore new things. Excellent written and verbal communication skillsStrong team playerResponsibilities:Build and develop new user facing experiencesPartner closely with cross functional partners in design and productBuild reusable modules for both client and server-side usageJob_Description_Summary: We’re looking for talented Node / JavaScript application developers with a passion for User Experience and a desire to question all assumptions to make our products better across the board. We are an experimentation-driven group that includes both Product a/b testing and working with new technologies to up-level everything we do and deliver. PayPal has been at the forefront of building large scale Node.js applications and as part of our Online Payments team, you’ll join us in our goal of making PayPal the best possible choice for paying online. We're looking for talent who are both curious and deeply interested and involved in the deeply passionate about the newest of web technologies, as we continue to scale out our next generation of checkout experiences in GraphQL and ReactJS. Our whole team pours our energy into these products and we want people to join us who want to be a part of the product. What we do matters—both to us and to millions of people around the world. Join us and build stuff that matters!Who we are: Fueled by a fundamental belief that having access to financial services creates opportunity, PayPal (NASDAQ: PYPL) is committed to democratizing financial services and empowering people and businesses to join and thrive in the global economy. Our open digital payments platform gives PayPal’s 286 million active account holders the confidence to connect and transact in new and powerful ways, whether they are online, on a mobile device, in an app, or in person. Through a combination of technological innovation and strategic partnerships, PayPal creates better ways to manage and move money, and offers choice and flexibility when sending payments, paying or getting paid. Available in more than 200 markets around the world, the PayPal platform, including Braintree, Venmo and Xoom enables consumers and merchants to receive money in more than 100 currencies, withdraw funds in 56 currencies and hold balances in their PayPal accounts in 25 currencies.We're a purpose-driven company whose beliefs are the foundation for how we conduct business every day. We hold ourselves to our One Team Behaviors which demand that we hold the highest ethical standards, to empower an open and diverse workplace, and strive to treat everyone who is touched by our business with dignity and respect. Our employees challenge the status quo, ask questions, and find solutions. We want to break down barriers to financial empowerment. Join us as we change the way the world defines financial freedom.PayPal provides equal employment opportunity (EEO) to all persons regardless of age, color, national origin, citizenship status, physical or mental disability, race, religion, creed, gender, sex, pregnancy, sexual orientation, gender identity and/or expression, genetic information, marital status, status with regard to public assistance, veteran status, or any other characteristic protected by federal, state or local law. In addition, PayPal will provide reasonable accommodations for qualified individuals with disabilities."
"Software Development Engineer Intern","Accolade, Inc.","Seattle, WA 98101","Job DescriptionRole overviewThe Software Development Engineer Team builds front-end web UI that enables our Health Assistants to make a real difference in people’s health. We value an open, honest culture that learns from our mistakes and lean on each other to produce the best product we can. As an intern, you’ll make meaningful contributions to shipping code in core business tools that get used every day at Accolade. You’ll leave with experience working in a well-functioning, professional team focused on excellenceQualificationsA day in the life…Work on cutting edge web technology in a real-world settingParticipate in Agile process, including grooming, planning, and estimation. console.log(‘hello, real world’)Ship code to production every two weeks for core businessMake a real difference for our members’ healthCollaborate with your teammates to write code and learn from each other.Additional InformationAll your information will be kept confidential according to EEO guidelines."
"Software Development Engineer - Growth Engineering","Zillow","Seattle, WA 98101","About the teamAs a Software Development Engineer - Growth Engineering, you will:Be a key part of the design, architecture, and implementation of new systems.Build new features and tools that help Zillow grow.Write scalable, performance-minded, highly-readable code.Be a key driver at all stages of application development.Work as a part of a team to define the long term technology vision.Research and pioneer the adoption and use of new technologies within Zillow.Collaborate closely with UI designers, Program Managers, Developers and Testers on a close-knit product team.Have Fun!We are a fast-paced team dedicated to growing organic search traffic to the Zillow Brand. The Traffic Team builds consumer products, tooling, and core services all with the goal of improving organic traffic to Zillow. Ultimately our work fuels the growth of every Zillow business line.We love to experiment and brainstorm new ways to accomplish our mission. We touch almost all aspects of Zillow, and there isn’t a dull moment. We believe in building a team-centric, team-first environment. Come join us!About the roleThis position gives you opportunities to:Be a key part of the concept, design, and implementation of new systems.Contribute to best-in-class mobile application development from concept to launch.Write performance-minded, highly-readable code.Be a key driver at all stages of application development.Work as a part of a team to define the long-term technology vision.Collaborate closely with UI designers, Product Managers, Developers, and Testers on a close-knit feature team.Who you areBS/MS in Computer Science, Software Engineering, or equivalent.Minimum of 2 years of software application and systems development experience.Experience with object-oriented languages.- Experience with RESTful APIs and web services.The ability to thrive in a fast, agile, and nimble environment.A track record of building products from design through delivery.Excellent problem solving and critical thinking skills.Familiarity with cloud architecture and services.The desire and ability to mentor and help the team grow.Get to know usZillow is the leading real estate and rental marketplace dedicated to empowering consumers with data, inspiration and knowledge around the place they call home, and connecting them with the best local professionals who can help. Zillow is part of Zillow Group, whose mission is to build the largest, most trusted and vibrant home-related marketplace in the world.At Zillow Group, we're powered by our inclusive work culture, where everyone has the support and resources to do the best work of their careers. Our efforts to streamline the real estate transaction is supported by our passion to empower people and enrich lives around everything home, a deep-rooted culture of innovation, a fundamental commitment to Equity and Belonging, and world-class benefits. But, don't just take our word for it. Read our reviews on Glassdoor and recent recognition from multiple organizations, including: Fortune 100 Best Companies to Work For (#69), Fortune Best Workplaces for Diversity (#38), Fortune Best Workplaces for Parents (#31), Fortune Best Workplaces for Women (#20), Fatherly's Best Workplaces for New Dads (#37), JUST Capital 100 Company (#69), Bloomberg Gender Equality Index constituent.Zillow Group is an equal opportunity employer committed to fostering an inclusive, innovative environment with the best employees. Therefore, we provide employment opportunities without regard to age, race, color, ancestry, national origin, religion, disability, sex, gender identity or expression, sexual orientation, or any other protected status in accordance with applicable law. If there are preparations we can make to help ensure you have a comfortable and positive interview experience, please let us know."
"C# .Net Developer","Internal Data Resources","Dallas-Fort Worth, TX",".NET DeveloperHey Dallas! Come join one of IDR’s largest and fastest growing clients in the financial services industry as a Permanent .NET Developer.We’re seeking innovative, driven & passionate professionals who will be responsible for driving technology innovation in hopes of advancing our client’s digital transformation endeavors..NET Developer Top Skills: 3+ years' Experience developing in house/custom applications in .NET framework & MVC3+ years' experience writing applications in C# & ASP.NETExperience updating Windows based client apps; WinForms & WPFExperience designing/developing web services using WCF or Web APIWhat Makes this Opportunity Unique: Permanent Opportunity with Competitive Salary and Great BenefitsOpportunity for GrowthWork/Life BalanceCasual Work EnvironmentJob Type: Full-timeSalary: $95,000.00 to $120,000.00 /yearExperience:.NET: 1 year (Required)c#: 1 year (Required)Work authorization:United States (Required)Benefits offered:Paid time offHealth insuranceDental insuranceHealthcare spending or reimbursement accounts such as HSAs or FSAsRetirement benefits or accountsOthers"
"IT Systems Analyst","Standard Beverage","Lawrence, KS","IT Systems AnalystCompany DescriptionThis is an exciting opportunity with an expanding company in Kansas. Standard Beverage is a family-owned spirits, wine, and beer distributor with major offices in Wichita, Lawrence, and Lenexa, Kansas. We employ more than 400 dedicated people and provide the most diverse portfolio of the industry’s top brands. Standard Beverage has been delivering world class service to customers throughout the state of Kansas since 1949 and has since become the largest Kansas-owned alcohol distributor. Our mission is very simple: to provide the best possible service to both our customers and supplier partners, while also providing an excellent working environment for our team members. We’re a modern, dynamic, progressive beverage company, yet grounded with old-fashioned values including working hard, loyalty, and a genuine commitment to excellence.Role DescriptionWe are seeking a talented and motivated individual to become an integral part of our IT team. The Systems Analyst requires an individual with the capacity to decompose our current stack of applications, identify opportunities for improved user experience and efficiencies while working hand in hand with our users.The ability to develop integration designs and documentation for technology solutions supported internally or by a third-party vendor is a must. Design documentation includes Scope, FSD’s, flowcharts, object modeling, and wireframing UI concepts. The candidate must be comfortable creating well-structured project plans, engaging with customers/vendors/consultants as needed and driving projects to completion on time and within budget. Must possess a high level of organization to streamline project tracking and creating organic efficiencies.This role also requires an individual with a development background to bridge the gap between technology and business. Additionally, a very strong analytical skillset is imperative to develop a deep understanding of current and future technology investments; to drive innovation. Though development is not the primary focus of this role, we may need you to roll up your sleeves and develop scripts leveraging our middleware solution or extract data from our array of databases using SQL and ETL scripting.Standard Beverage provides a data conduit to our users via Dimensional Insight’s Business Intelligence Solution, better known as Diver. The System Analyst must possess the ability to become the subject matter expert for designing data cubes/objects, understanding how to define and create impactful KPIs, and disseminate this information by generation vibrant reports, dashboards, and mobile design interfaces.Lastly, this role will work closely with our Help Desk team; providing assistance troubleshooting issues and answering escalated questions.Key Responsibilities· Lead meetings related to application focused discussions to review and gather information regarding gaps in business requirements, compile and breakdown those requirements, and determine approach to fulfill those requirements leveraging existing technology investments or pursuing new ones.· Manage vendors/consultants targeting excellent value for their time and results.· Understand our business solutions and each integration point to appropriately diagnose and expediently support our business users.· Lead and/or assist in training our users in adapting to software improvements or learn how to use entirely new solutions. Create training plans and class room documentation to guide the training session succinctly and within the allocated time window.· Assist with system upgrades by engaging with vendors and services, creating and executing against a detailed project plan and conducting several iterations of testing before promoting changes to minimize impacts to end users.· Steer internal discussions to prioritize software enhancements and software projects.· Adhere to current documentation methodologies and contributes to existing knowledgebase.· Share thoughts openly with team in a constructive and conducive manner.· Protect the organization’s value and integrity by keeping ALL company and personnel information strictly confidential.· Field calls and resolve issues outside normal work hours should they occur.Requirements· Bachelor’s degree in CIS, Computer Science, MIS or related field of study, or equivalent work experience (4+ years)· Mid-Level development background in main stream language (i.e. C#, Java, RPG ILE, C++)· Experience using Integrated Design Environment· Knowledge of relational database concepts· MS SQL experience for ETL scripting using MS SQL Server Management Studio· Basic understanding of Website Managemento IIS/Apacheo SSL / Cert registration· Understanding of integration technologies and techniqueso API/Web Serviceso XML/Delimited Fileso FTP/sFTP· Experience using software application such as Microsoft Project, PowerPoint, Word, Excel and Visio· Understanding and experience in:o Enterprise Solution / Route Accounting Software (RAS)o Business Intelligence Systemso Warehouse Management Systems (WMS)o Mobile Solutions· Experience using iOS devices and applications, MDM is a plus· Ability to see the bigger picture and conversely break down overall projects into detailed steps for execution· Support business users with a positive and approachable manner and possess solid communication skills· Ability to multi-task in a fast-paced environment· Attention to detail and a high level of accuracy· Strong written, verbal, and presentation skillsPersonal Characteristics· Adaptability to change and able to manage competing demands. Demonstrate a sense of urgency and reliability.· Self-confidence and a professional demeanor. Must be a self-starter with a strong work ethic who takes the initiative to get things done.· Must be organized, self-motivated, adaptable and have a strong desire to embrace and drive change.· Positive attitude towards daily work, team members, and customers.· Ability to identify and resolve problems in a timely manner.CompensationCandidate will receive a market-competitive salary depending on candidate criteria and commensurate with role and responsibilities within the organization. Comprehensive benefits (medical, dental, 401k, etc.) and tuition reimbursement are also provided. Standard Beverage Corporation offers this full benefits package in addition to a fun, interactive working environment.Standard Beverage Corporation is an equal opportunity employer and we value diversity. Employment is decided based on qualifications, merit and business need. Job Type: Full-timeExperience:iOS devices and application: 1 year (Preferred)Relational Databases: 1 year (Preferred)Integrated Design Environment: 1 year (Preferred)MS SQL for ETL scripting using MS SQL Server Mgmt Studio: 1 year (Preferred)Mid-level development in main stream language: 1 year (Preferred)Education:Bachelor's (Preferred)Benefits:Health insuranceDental insuranceVision insuranceRetirement planPaid time offTuition reimbursement"
"IT Manager","Performance Foodservice","Gilroy, CA","IT ManagerGilroy, California (CA)Full Time1st ShiftCompany DescriptionPerformance Foodservice, PFG’s broadline distributor, maintains a unique relationship with a variety of local customers, including independent restaurants and hotels, healthcare facilities, schools, and quick-service eateries. A team of sales reps, chefs, consultants and other experts builds close relationships with each customer, providing advice on improving operations, menu development, product selection and operational strategies. The Performance Foodservice team delivers delicious food, but also goes above and beyond to help independent restaurant owners achieve their dreams.Job DescriptionThe IT Manager position will perform the following duties:Supervises associates to include, but not limited to: staffing, training, coaching, performance management and problem resolution.Consults with managerial and systems analysis personnel to clarify program intent, identify problems, suggest changes, and determine extent of programming and coding required.Consults with management to determine information requirements of management, to determine boundaries and priorities of new and existing projects, and to discuss system capacity and equipment acquisitions.Reviews project feasibility studies and establishes work standards.Collaborates with software providers and other users to develop new communication methods.Researches and evaluates new and existing technology that may need to be implemented.Reviews market to determine customer needs, volume potential, price schedules, discount rates, develops sales campaigns to accommodate company goals.Prepares progress reports to inform management of project status and deviation from goals.Reviews information to ascertain costs and plan operating changes.Participates in technical projects such as determining equipment specifications and developing requirements for specified applications.Develops programs from workflow charts or diagrams, considering factors such as computer storage capacity and speed, extent of peripheral equipment, and intended use of output data.Collects and analyzes test runs on computer to correct or direct correction of coded program and input data.Confers with management to evaluate and promote and improve services.Formulates and effectuates company policy with respect to information system functions by managing and using independent judgment and discretion. Performs other related duties as assigned.The ideal IT Manager candidate displays:Strong technical knowledge of current network hardware, protocols and standardsSkilled in understanding the financial implication of all management decisionsStrong analytical skills and the ability to solve problems through analytical reasoningThe ability to maximize the performance of people and/or equipmentThe ability to make operating decisions in conformance with budget limitationsThe ability to successfully manage and prioritize multiple ongoing projectsThe ability to communicate management decisions to achieve understanding and acceptanceRequired Qualifications4 - 6 Years Information Technology/Systems or related areawith team lead or supervisory experience.High School Diploma or EquivalentPreferred QualificationsBachelors degreeInformation Technology/Systems or related areawith team lead or supervisory experience.6 - 10 Years Information Technology/Systems or related area with supervisory experience.Preferred Professional Certification: Project Management Professional (PMP) certificate.DivisionPerformance FoodserviceJob CategoryInformation SystemsReq Number18485BR"
"C# .Net Developer","Foley Carrier Services LLC","Hartford County, CT","Foley is looking for a C# .NET Developer for our growing company. This is a great opportunity to join a growing team and make a difference. You will be part of small but growing team that works closely business leaders to develop exciting new opportunities and tools for our customers and employees.This position is conveniently located in the historic Coltsville neighborhood of Hartford, Connecticut.What are the Primary Job Functions of the C# .NET Developer?Design advanced .NET applications using C#, ASP.NET, MVC5/6, Windows Forms, .NET web APIs, WPF, WCF, LINQ, and various data access layersWork closely with internal users to create requirement specifications and test plansCreate/maintain an understanding of application dependencies, integrations, and processesImplement configuration and customizations to support business processesMaintain existing software systems by identifying and correcting software defectsWorks with both internal teams and development teams to assure issues are resolved in a timely fashionAnalyzing problems and communicating with end users to assess needs and determine optimum solutionsResponding to help desk requests in a timely fashionAssists support personnel in resolving platform issuesIdentify and help resolve system technical issuesCreate new and extend existing operational documentation and process flow documentationWhat You Need to Be Successful as a Developer?Ability to elicit requirements from end users and business analyst documentationStrong analytical and diagnostic skills, as well as excellent written and verbal communication skillsAbility to work in a group setting and independentlyAbility to adjust to changing prioritiesExcellent attention to detail and orientation toward meticulous workStrong documentation and organizational skillsProven ability to maintain and customize ASP.NET, MVC5/6, and C# applicationsStrong SQL Database skills (SSMS, TSQL, Stored Procedures, Functions, and Views)Self-motivated Individual that works within established boundariesAbility to learn new technologies independentlyExperience with XML, JSON, HTML5 and CSSExperience with Microsoft Dynamics CRM and/or Microsoft Dynamics GP is a plus3+ years’ experience developing ASP.NET and C# applicationsBachelor’s degree in computer science, engineering, or a related fieldWhy Join Our Team?Foley is an employee-driven organization that regularly solicits employee feedback in an effort to create a positive work environment for our growing team. From our employee lounge to our monthly after-hours social gatherings, we give you ample opportunities to connect with your co-workers in a professional, yet relaxed atmosphere.You’ll also look forward to:Advancement opportunitiesCompetitive benefits package including medical, dental and vision401(k) with company matchStudent loan reimbursementOnsite market providing fresh food choicesFree onsite parkingFlexible schedulesWho Are We?We are on the verge of explosive growth.Founded in 1992, we have more than 42,000 clients nationwide – a number which continues to grow as we expand our service offerings. Today we sell DOT compliance programs, background screening services and financial services to the transportation industry. Tomorrow expands from there!People who succeed at Foley and enjoy working here are smart, fun, energetic and creative. We love to win and are not afraid to take risks and learn from our mistakes. If this sounds like you, and you’d like to learn more about the benefits of working here, we encourage you to fill out an application today. A recruiter will follow up with you shortly after to answer your questions and discuss the position in greater detail.Job Type: Full-timeExperience:XML, JSON, HTML5 and CSS: 1 year (Preferred)developing ASP.NET and C# applications: 1 year (Required)SQL Database skills: 1 year (Preferred)Education:Bachelor's (Preferred)Location:Hartford County, CT (Preferred)Work authorization:United States (Required)"
"Software Engineer (Application Integration)","Futurex","San Antonio, TX","Futurex is seeking talented individuals to perform software integration and development for Futurex's suite of cryptographic modules and application servers. Futurex devices are used as back-end infrastructure for many products and services. This position requires performing integration with 3rd party products and completing any associated development. The integration engineer must debug network or API communication, cross reference standards documents and technical references, interacting directly with third-party application developers as needed.Our world-class software engineering team is based at Futurex's Engineering Campus in the Hill Country just north of San Antonio, Texas. This role offers an opportunity for skilled individuals to expand their talents by participating directly in the development of production software. Individual visibility within the team is high, and opportunities for rapid advancement exist. All levels of Futurex software engineers work directly on production-level code in a fast-paced, results-oriented environment on products with a rapid time to market.PRIMARY RESPONSIBILITIESIntegrate Futurex devices with 3rd party applications, devices, and servicesPerform product code changes required for integration effortsDevelop and document APIs and protocols used when interfacing with external systemsConfer with team members to provide understanding of application interfacesRead and comply with published standards and technical documentationBENEFITSA key role in production-level software projects working directly on cutting-edge encryption technology with a fast time to marketCompetitive compensation and opportunities for advancementCompany-provided snacks and drinksScenic corporate campus with amenities including a tennis court, jogging trail, and putting greenWelcoming, family-style corporate culture uniquely suited to fast-paced, entrepreneurial, and motivated individualsQUALIFICATIONSBachelor's degree or higher in computer science or engineeringSoftware development experience in C and C++Motivated, self-starting, and eager to learnExperience working with standards and technical referencesSTRONGLY PREFERExperience developing in a Linux environmentExperience developing for a Windows environmentAbility to read and write Python and Bash scriptsExperience with Git version control softwareKnowledge of cryptography and related standardsExperience with some of these common message syntaxes and encodings:Abstract Syntax Notification 1 (ASN.1)Cryptographic Message Syntax (CMS)Extensible Markup Language (XML)JavaScript Object Notation (JSON)Public Key Cryptographic Standard #7 (PKCS #7)X.509Experience with some of these standardized protocols and APIs:Java Cryptography Extension (JCE)Key Management Interoperability Protocol (KMIP)Lightweight Directory Access Protocol (LDAP)Microsoft Cryptographic Next Generation (CNG)Online Certificate Status Protocol (OCSP)Public Key Cryptographic Standard #11 (PKCS #11)Simple Certificate Enrollment Protocol (SCEP)Transport Layer Security (TLS)Windows Client Certificate Enrollment (WCCE)Job Type: Full-timeEducation:Bachelor's (Required)Work authorization:United States (Required)Application Question:Do you now or will you in the future need sponsorship from an employer in order to obtain, extend, or renew your authorization to work in the United States?Work Location:One locationBenefits:Health insuranceDental insuranceRetirement planVision insurancePaid time offFlexible schedule"
"Web Developer","TCP Global","San Diego, CA 92121","Job Description: Create designs, concepts, web layouts based on knowledge of layout principles and esthetic design concepts. A strong understanding of HTML, CSS, and bootstrap. Use of computer software like Adobe CS to generate design graphics and web content required. Also database manipulation and retrieval skills are required. Review final layouts and suggest improvements as needed. Develop graphics and layouts for product illustrations, company logos, and Shopify websites. Prepare illustrations or rough sketches of material, discussing them with supervisors and making necessary changes. Relevant work experience is required.We are looking for a very detail-oriented individual. The candidate must have 2 years minimum experience as a graphic designer for both print and web applications. Design applications include, brochures, flyers, web-forms, theme designs, social media content, web and mobile UI's. The applicant should display a positive attitude with the ability to lead by example, prioritize & multitask. Knowledge or experience in the automotive industry would be helpful, but is not mandatory.About us:We are TCP Global Corporation, a local successful internet retail company that needs a full time Web and Print Graphic Designer with strong work experience that can start right away. We have multiple successful websites that cover a wide range of different products. We currently employ over 110 people and offer a 401(k) plan and great company benefits.Applicant Requirements:Ability to design and maintain Shopify websitesAbility to work in a fast-paced, deadline-driven environmentPeople skills and the ability to diplomatically negotiate with other team members.Ability to work independently and in a team-oriented environment.Strong and Proven design experienceCoordination and time management skills.Self-motivated, able to pick up company needs and requirements quickly and independentlyAbility to coordinate multiple design projects simultaneously and make all deadlinesQualifications:2 years minimum experience - High level corporate designAdvanced skills using Microsoft Office suiteAdvanced skills using Adobe Creative Suite, CS5, Illustrator, DreamweaverAdvanced skills using XHTML/CSS/jQuery.Advanced skills using Shopify Websites and content management systems"
