"job_title","company","location","description"
"Director","Cincinnati, OH 45246","Director, Enterprise IT Infrastructure","POSITION TITLE: Director, Enterprise InfrastructurePURPOSE: To oversee the provisioning and support of the technical infrastructure used by client and other clubs that use the applications and infrastructure. In addition to overseeing the internal technical infrastructure (e.g., data center), this position also manages the various technology vendors that provide technical services and support to the client. This role is responsible for ensuring that technology services are provisioned in a highly reliable, secure and efficient manner relative to defined service level requirements. REQUIREMENTS: Ability to interact and build effective working relationships at all levels of the organization at a level normally acquired through the completion of a Bachelors degree in Computer Science, Management Information Science, Business Administration, Finance/Accounting, Engineering or related field or equivalent. Advanced degree in Computer Science, Engineering or related field or a Masters in Business Administration is preferred. Minimum of 8-10 years experience in computing platforms and operating systems, database management systems, data storage systems, systems management tools, network topologies and operating systems, user support tools, messaging/directory systems. Ability to drive change within the organization; ability to build consensus/coalitions amongst diverse (or divergent) interests; act with integrity; builds confidence, track record of accomplishments that required strong leadership. Familiar with industry trends, members needs and other environmental forces (i.e. political, economic, social, demographic) driving change in the market; strong conceptual/creative thinking skills. Ability to gather, sort and analyze data and then develop logical conclusions; critical thinking skills; familiar with problem solving tools/techniques (Pareto, fishbone, force field, brainstorming). Ability to travel to other Mid-Atlantic locations. 15% of hte time .Experis is an Equal Opportunity Employer (EOE/AA)"
"develop","dashboard displays","charts","\"Responsibilities:Direct and facilitate functional and technical designs of systems to ensure sound decisions are being made in alignment with current and future business and IT strategies and opportunitiesArchitect business intelligence solutions and direct ETL and report developers in the solution creationSupport reduction of data redundancy and fragmentation, elimination of unnecessary movement of data, and improvement of data qualityChampion developing, implementing, and continuously updating \"\"best practices\"\" and standards as they relate to ETL strategy and data quality managementInteract with technical and business resources on a daily basis to define"
"Project Manager","Manufacturing - Other","Santa Ana, CA 92705","Our company is a nationally recognized manufacturer of architectural and decorative glass with a global reach. We are currently working on projects domestically and internationally. The perfect candidate will have a well-balanced background in management, keen artistic sense and some experience with hand crafted products. Responsibilities include, but not limited to:-          Develop detailed project schedules and master plans-          Effectively manage workflow-          Monitor project progress, making sure milestone goals are achieved-          Oversee quality control -          Work directly with designers, GCs, and subs on both creative and management ends-          Maintain, establish healthy strategic relationships Requirements:-          2+ years of project management experience-          Demonstrable understanding of project schedules and workflow management -          Experience managing a small team-          Basic understanding of shop, architectural, and structural drawings-          Effective communication skills-          Work extended hours if needed Selected candidates will undergo a full background check and drug screening. If qualified, please send in your resume with salary history. Compensation: BOEEmployment type: Full-time "
"Project Manager","All","Dallas, TX 75201","Project Manager, End User Services,   About Capgemini : With almost 180,000 people in 44 countries, Capgemini is one of the world's foremost providers of consulting, technology and outsourcing services. The Group reported 2014 global revenues of EUR 10.573 billion. Together with its clients, Capgemini creates and delivers business and technology solutions that fit their needs and drive the results they want. A deeply multicultural organization, Capgemini has developed its own way of working, the Collaborative Business ExperienceTM, and draws on Rightshore®, its worldwide delivery model. Learn more about us at www.capgemini.com.     End User Computing Project Manager   About Infrastructure Services: The Infrastructure Services business unit combines Capgemini’s consulting, infrastructure build and run capabilities and the provision of cloud based services in an integrated global sales and delivery model. The group provides infrastructure outsourcing services, including service management, service integration, data centers, cloud computing, workplace, service desk and network support.. The group also provides infrastructure transformation services, helping clients to virtualize and optimize their estates, leveraging our outsourcing, integration, brokerage and as a service offerings.   End User: The vision of End User Services Practice is to build a user-centric, connected workplace that transforms today’s IT into an outstanding business experience for our customers.     About EUS: The IT infrastructure marketplace is moving to a new paradigm.  Offshore capabilities have changed clients’ expectations of prices for standard services and Cloud will now change the game between customized IT and standard IT. This means that our clients expect the best possible prices for standard applications and functionalities.  They anticipate on-demand resources, including outsourcing of their capital expenditure.  And they demand an IT foundation with key infrastructure elements and application programming interfaces already built-in.  Our clients will show preference to value propositions delivering information systems that differentiate their businesses in their markets. In response, Dynamic Services are evolving which will take us beyond the current trend for tower services and introduce a new generation or micro-sourced services.  These services offer applications, infrastructure and business processes - all as-a-service; whilst running alongside the effective management of the legacy towers. Building the capability that orchestrates these services to enable client’s competitive advantage is the business of Infrastructure Transformation Services.   Role Requirements:   These roles provide an excellent opportunity within EUS North America for high performers with project experience who are ready to take on project leadership roles. The successful candidates will be working as part of the EUS Project & Programs Practice in a wide variety of client facing environments in both public and private sectors.   Project Managers are responsible for leading either large projects or a definable segment of a very large and complex project. The Project Manager is responsible for and leads the translation of the client's complex business requirements into formal agreements, establishing specific solutions and consulting engagements.   This includes working with client personnel and executives to identify business requirements. It means working with and leading others in the initiation, planning, control, execution and implementation of the client's solution. Our Project Managers are responsible for a wide range of process activities beginning with the request for proposal through development and final delivery.   Within Infra Services North America, these roles provide the opportunity for experienced high performing Project Managers to join the Project & Programs capability in a wide variety of senior client facing environments.   Key Characteristics and Responsibilities: ·   Applies knowledge of project management disciplines and processes to deliver infrastructure consulting and implementations that modernise clients’ IT infrastructure · Accountable for large, complex projects including cross functional engagements, global projects and manages dispersed teams ·     Interfaces directly with customer's executive management ·  Guides other professionals (projects practitioners, specialists and consultants) ·    Leads commercial negotiations with clients and 3rd parties ·  Provides leadership in complex project related problems and creates innovative solutions involving finance, scheduling, technology, methodology, tools and solution components with the assistance of the functional and technical groups ·    Challenge the validity of given procedures and processes with the intent to enhance and improve ·    Leads and guides the efforts of others in understanding and reaching project decisions. Position may require coordination of activities of less experienced or less knowledgeable team members ·    Is respected as a project management subject matter expert both inside and outside the company ·  Leads project management/business initiatives in new and complex areas both externally and internally ·         Forecasting and budget / financial management to support delivery to time, cost, scope and quality ·    Supporting proposal development, from client request through issue, presentation through to project delivery ·    Contributing to the development of methods and expansion of the knowledge base within the Practice     Skills Required: ·    Strong Leadership, planning and organizational skills underpinned by proven experience in IT Infrastructure / Applications projects ·    Experience of project and program planning, project forecasting and financial management ·     Excellent analytical and technical skills ·    Excellent interpersonal skills, including teamwork, facilitation and negotiation ·           Must be able to demonstrate a level of maturity while under constant pressure from the business and client ·     Knowledge and experience of project delivery methodologies ·  Stakeholder management and communication skills with the ability to communicate and influence at all levels ·    Flexible about work content and location, able to work independently with clients and colleagues ·  Experience of tools such as Microsoft Project, Microsoft Office Suite, SharePoint  and Teamforge ·     Experience of financial management tools     Additional Information: ·     Crucially important is experience in Transition work, service desk and distributed deskside being our key areas. ·    This is a client facing role which requires excellent presentation, communication and organisation skills ·   There will be a requirement to attain the relevant level of Capgemini’s Engagement Management Certification within employment ·    Development support and Learning and Development will be provided in line with the Capgemini curriculum for our Engagement Management community and Infrastructure Services ·   Successful candidates will be asked to gain a level of security clearance either prior to or upon commencement of employment in support of their allocation to accounts requiring an element of security clearance ·    Successful applicants will require flexibility in their work location; the ability to work at client and Capgemini sites across North America for the duration of assignments        Skills Required: ·           Strong Leadership, planning and organizational skills underpinned by proven experience in IT Infrastructure / Applications projects ·           Experience of project and programme planning, project forecasting and financial management ·           Excellent analytical and technical skills ·           Excellent interpersonal skills, including teamwork, facilitation and negotiation ·           Must be able to demonstrate a level of maturity while under constant pressure from the business and client ·           Knowledge and experience of project delivery methodologies ·           Stakeholder management and communication skills with the ability to communicate and influence at all levels ·           Flexible about work content and location, able to work independently with clients and colleagues ·           Experience of tools such as Microsoft Project, Microsoft Office Suite, SharePoint  and Teamforge ·           Experience of financial management tools     Additional Information: ·           Crucially important is experience in Transition work, service desk and distributed deskside being our key areas. ·           This is a client facing role which requires excellent presentation, communication and organisation skills ·           There will be a requirement to attain the relevant level of Capgemini’s Engagement Management Certification within employment ·           Development support and Learning and Development will be provided in line with the Capgemini curriculum for our Engagement Management community and Infrastructure Services ·           Successful candidates will be asked to gain a level of security clearance either prior to or upon commencement of employment in support of their allocation to accounts requiring an element of security clearance ·           Successful applicants will require flexibility in their work location; the ability to work at client and Capgemini sites across North America for the duration of assignments        Qualified candidates should email resumes to josh.harben@capgemini.com *LI-JH       Additional Information:Travel Percentage: 75%"
"Field Service Technician","All","Dallas, TX 75201","Purpose of Position: Under general direction, the primary role of this position performs advanced customer support activities for process and laboratory instrumentation. Additionally, this position actively promotes the growth of the territory through contract sales and the provision of sales leads.   Essential Functions·    Using established company guidelines performs on-site start-up, preventive maintenance, routine repair, and calibration/verification of instrumentation.·    Serves as on-site customer contact for technical and service related problems.·    Instructs customer in proper preventive maintenance and operation of equipment.·    Submit prompt, accurate service reports that affect billing, inventory, instrument history, and instrument failure.·    Follows safe work practices according to company policy.·    Involves the supervisor or product expert with challenging/complex problems.·    Identifies service and instrumentation opportunities and escalates that information to the appropriate sales channel.·    Provides informal mentoring and guidance to new Sr. Field Service Technicians.·    Work with and take direction from Division Service Manager/dispatch team to efficiently execute all required service and additional activities.·    Maintain accurate records and efficient usage of replacement parts inventory.·    Frequent overnight travel. (Mandatory overtime as business needs dictate and flexible scheduling is required associates in this position.)  Other Non-Essential Functions ·      Works with rest of territorial staff as a team to meet objectives.·      Other duties as assigned.   Hach is an equal opportunity employer.  We evaluate qualified applicants without regard to race, color, national origin, religion, gender, age, marital status, disability, veteran status, sexual orientation, gender identity, or any other characteristic protected by law. Education, Background and Skill Requirements ·         Associates/ Technical degree preferred or combination of education and experience. ·         Mastery of Preventative Maintenance (PM), diagnostics & repair on core products as required.·         Driver’s License and acceptable driving record required. Environment: The work environment for this position is both office and field sales activity.  The field sales activity will take this individual into customers’ locations and moderate physical activity (e.g. lifting/carrying of materials) occurs.  All external hiring is contingent upon the successful completion of a pre-employment drug screen, physical testing and a complete background check which could include credit history.   Additional Information:Travel Percentage: 75%"
"Senior Analyst","Aerospace and Defense","Sacramento, CA 95813","Aerojet Rocketdyne is a world-recognized aerospace and defense leader providing propulsion and energetics to its space, missile defense, strategic, tactical missile and armaments customers throughout domestic and international markets. Aerojet Rocketdyne is seeking a Senior Analyst, General Accountant - Shared Services for our Sacramento, CA office. This position reports to the Manager, General Accounting, and contributes to the development, implementation and execution of plans in accordance with the Company's prepayment initiative in addition to performing a multitude of accounting and financial analysis activities that support the initiatives and goals of Shared Business Services Units: Payroll, A/P, A/R, Fixed Assets, and Business Systems. This current opening may be filled at this level as posted or at one level higher.Essential Job Duties:40% - Performs all accounting tasks on a daily, weekly, monthly basis relating to the Aerojet Rocketdyne Prepayment processing and analysis, including recording, monitoring, reconciliation, and supplying metrics to upper management. 30% - Performs monthly accounting activities such as journal entries, account reconciliations, variance analyses, and ad hoc analyses, ensuring that all financial data is presented clearly, accurately and with supporting documentation and that all deadlines are met. Prepares reports summarizing business and financial activities. 20% - Assists with ad hoc projects of varying degrees of complexity focusing on process improvements that will maximize efficiencies while maintaining high levels of accuracy. 10% - Provides support of audit requests for external, internal and DCAA audits as needed. Requires a Bachelor's degree in Accounting, Finance or a related major with a minimum of six (6) years' experience in general ledger accounting, financial analysis and reporting, and account reconciliation, or an equivalent combination of education and experience. Requires U.S. Citizenship. Minimal travel may be required. Additional Requirements and Preferred Qualifications:Excellent analytical skills. Ability to perform research and in-depth evaluation.Demonstrated ability to manage projects, ability to prioritize to meet critical deadlines, and focus on work product quality and accuracy. Adherence to strict confidentiality.Strong proficiency in Excel (Pivot Tables/Vlookups) and Microsoft Office products.Independent, self-motivated individual with strong organization skills and attention to detail.Good team player with ability to build strong working relationships.Excellent communication and interpersonal skills with a hands on approach to process improvement and effective problem resolution.Experience with Oracle or other ERP systems and OBIEE is strongly desired. Familiarity with various SBS Services functions: Payroll, A/P, A/R, Fixed Assets, Business Systems desired.Experience with Government Accounting/Project Accounting and Procurement a plus.CPA, MS or MBA a plus. Work Environment/Physical Requirements:Employees in these positions must possess mobility to work in a standard office setting and to use standard office equipment, including a computer; stamina to sit and to maintain attention to detail despite interruptions; may occasionally lift/carry/push/pull up to 15 pounds; may require minimal walking, climbing, stooping, crouching, and/or bending; and vision to read printed materials and a computer screen, and hearing and speech to communicate in person and over the telephone. May require the ability to travel by air or auto. May require the use of personal protective equipment such as safety glasses, safety shoes, and shop coat. These positions may be expected to work varying shifts and hours to ensure successful operation of activities in the organization.PI96086224Apply Here"
"state","race","age","\"A Senior Associate must have an understanding of the organization’s basic consulting models and methodologies, as well as basic knowledge of what services PC provides. A Senior Associate must be technically competent and continually developing the skills as defined in the responsibilities section of this document. A Senior Associate, under the general direction of a Project Lead and Technical SMEs, takes responsibility for ensuring that client work is performed, and delivered on time, meeting the quality expectations of PC and the client. A Senior Associate may act in a client facing role with support from line management.Project ExecutionWorks effectively within a team environment but may work independently delivering services within their area of competenceWorks within broad project guidelines as directed by the project Lead and/or Technical SMEsTakes initiative to prioritize work to achieve specified project outcomes while confirming alignment with project lead and line managerCapitalizes on opportunities to improve one’s own performance and seeks feedback from the project Lead and colleaguesApplies information provided by the project Lead or senior colleagues to complete assigned project activitiesProduces quality work that meets the expectations of project Lead and the clientMay support the project lead with project management activitiesInterpersonal and intercultural communication skillsConsulting Activities and Relationship ManagementFollows and implements the organization’s consulting models and methodologies under the guidance of the Project Lead and/or Technical SMEsDelivers consulting services within personal area of expertise under the guidance of the Project Lead and Technical SMEsCompletes assigned activities within project scope and objectives with an understanding of issues which may impact project profitability under the direction of the Project LeadIdentifies project and internal issues to senior colleagues and Project Lead and provides proposed solutionsInteracts professionally at all working levels within a client organization and within PAREXELIdentifies project and/or client needs to the Project Lead and collaborates with senior staff to define a proposed solutionInteractions result in clients expressing satisfaction with service providedMay assist in preparing and/ or delivering a presentation with the support of senior colleaguesIdentifies and alerts PC management to opportunities for follow-on business or necessary changes in project scopeQualificationsSuccessful candidates will have the following experience and credentialsMinimum Work Experience2-3 years in a drug development \"\"regulated\"\" environmentRegulatory License Transfer experience \"\"MAT\"\"experience with project work desiredexperience working on teams and collaborating with colleaguespassion and desire to learn and grow within a Regulatory Affairs environmentStrong problem solving skillsEducation - Minimum of a Bachelor’s Degree in a Scientific. PhD in lieu of work experienceLanguage Skills - At least fluent vocal and written EnglishSome Travel may be requiredEEO DisclaimerPAREXEL complies with all applicable federal"
"state","race","age","\"An Associate Consultant within Integrated Product Development must have a knowledge of the organization’s basic consulting models and methodologies, as well as basic knowledge of what services PC provides. An Associate must be technically competent and continually developing the skills as defined in the responsibilities section of this document. An Associate, under the general direction of a Project Technical Lead, takes responsibility for ensuring that client work is performed, and delivered on time, meeting the quality expectations of PC and the client. The guidance of more senior staff may be needed to accomplish more complex tasks.Project ExecutionWorks effectively within a team environmentWorks within broad project guidelines as directed by the project Technical LeadWith the guidance of the project Technical Lead, demonstrates the ability to prioritize work to achieve specified project outcomesCapitalizes on opportunities to improve one’s own performance and seeks feedback from the project Team Lead and colleaguesApplies information provided by the project Team Lead or senior colleagues to complete assigned project activitiesProduces quality work that meets the expectations of project Team Lead and the clientConsulting Activities and Relationship ManagementFollows the organization’s consulting models and methodologies under the guidance of the Project Technical LeadDelivers a limited range of consulting services within personal area of expertise under the guidance of the Project Technical LeadCompletes assigned activities within project scope and objectives under the direction of the Project Technical LeadIdentifies project and internal issues to senior colleagues and Project Technical LeadInteracts professionally at all working levels within a client organization and within PAREXELIdentifies project and/or client needs to the Project Technical LeadBusiness DevelopmentBegin networking within the industry (i.e. maintain contacts and relationships with clients once engagements are complete)Communicates potential new business lead to PC management and account managersQualificationsSuccessful candidates will have the following experience and credentialsMinimum Work Experience0-2 years in a drug development \"\"regulated\"\" environmentexperience with project work desiredexperience working on teams and collaborating with colleaguespassion and desire to learn and grow within a Regulatory Affairs environmentStrong problem solving skillsEducation - Minimum of a Bachelor’s Degree in a Scientific or Technical Discipline Language Skills - At least fluent vocal and written EnglishSome Travel may be requiredEEO DisclaimerPAREXEL complies with all applicable federal"
"Marketing Coordinator","Printing and Publishing","Miami, FL 33145","ProCirc, the award-winning Miami-based provider of outsourced magazine publishing circulation services, is looking for a Coordinator to work in a fast paced, high-volume environment.  Candidates will work closely with publishers, printers, internal marketing teams, and vendors to organize magazine print production and print order reports.  Job responsibilities include:·         Organize multi-title direct mail print production requirements for 30 plus magazines·         Negotiate best prices for print materials; hire vendors and coordinate interaction ·         Manage multiple projects from concept to final output ·         Enforce deadlines with internal departments and off-site vendors·         Traffic, proofread, and approve proofs·         Ensure jobs meet postal regulations, quality standards and client-specified requirements·         Compile data from multiple sources and organize into excel spreadsheets for reporting and production needs  ·         Create magazine print order reports to determine copy distribution, communicate print and bind instructions and print timing  ·         Liaison to printer for timeliness and accuracy of print order needs  Job Requirements:·         Bachelor’s Degree or equivalent related experience·         Advanced level excel skills and strong analytical ability·         Knowledge of printing production process·         Excellent communication, time-management and organizational skills·         Attention to detail, multi-tasking ability and strict adherence to schedules a must·         InDesign or Photoshop experience a plus COLLEGE GRADS WELCOME!"
"Consultant","Healthcare Services","Home Based","▪ Follows and implements the organization’s consulting models and methodologies▪ Provides technical and/or business consulting services within personal area of expertise▪ Completes assigned activities within project scope and objectives with an understanding of issueswhich may impact project profitability▪ Collaborates with colleagues and client to identify and resolve technical and process issues▪ Leverages senior colleagues to discuss and propose resolutions to possible problems or conflicts..Seeks guidance periodically on appropriate methods of executing project activities▪ Interacts professionally at multiple levels within a client organization and within PAREXEL▪ Proactively assesses client needs and develops processes and solutions to address issues▪ Delivers assigned work and provides services and solutions which results in clients expressingsatisfaction with service provided▪ Interactions result in clients expressing satisfaction with service provided▪ May prepare and/ or deliver presentation with the support of senior colleagues▪ Identifies and alerts PC management to opportunities for follow-on business or necessary changesin project scopeQualifications• 3 – 5 years of experience in the pharmaceutical, Biotech or medical device industryo General knowledge of GMP requirements gained from positions within QA, QC and/or manufacturing operations• Minimum of a Bachelor’s Degree in a Scientific or Technical Discipline; advanced degree preferredEEO DisclaimerPAREXEL complies with all applicable federal, state, and local laws prohibiting discrimination in employment. All qualified applicants will receive consideration for employment without regard to gender, age, race, color, religious creed, marital status, sexual orientation, national origin, ethnicity, ancestry, citizenship, genetic information, disability, protected veteran status or any other characteristic protected by applicable federal, state or local law."
"Consultant","Healthcare Services","Consultant, Product Implementation Description   Life-changers work here At CareFusion, we create innovative ways to help our customers improve patient care. We rely on bold and inspired employees who share our commitment to helping solve some of healthcare's most critical challenges.CareFusion is now part of Becton Dickinson, a global medical technology company focused on addressing many of the world's most pressing and evolving health needs. With our combined technology and expertise, we will become a global leader helping to transform the quality and cost of care for patients and clinicians worldwide. Join us in our mission to improve the future of healthcare and help all people lead healthy lives.   Job Title: Consultant, Product Implementation   Business Description Pyxis® technologies within BD Medication Management Solutions business help prevent medication errors, save time, increase predictability of medication availability and reduce inefficiencies throughout the medication use process. http://www.carefusion.com/our-solutions/medication-management .   Purpose The Consultant, Product Implementation (CPI) is experienced with the implementation of Medication Management Systems at the Large Hospital/IDN level.  This involves extensive customer interaction and relationship development at the Director/Key Stakeholder level.  In addition, the CPI guides the implementation process through demonstrated expertise of clinical and technical processes of Medication Management Systems.  Projects range in scope from large hospital to small/medium IDN level implementations requiring standardization across multiple product lines. The effective CPI must be able to clearly communicate, thoroughly document and demonstrate product implementation competency.  This also involves working with the customer (with focus on large hospital systems to small/medium IDN’s level customers) by gathering customer requirements, defining best practices, design decisions and policy and procedures consulting.  The CPI effectively performs the required tasks to ensure timely Go-Lives and customer satisfaction.  The CPI must have the ability to establish collaborative working relationships with cross-functional project teams.  Project teams will include multiple disciplines from within Medication Systems and customer teams.  The CPI is a mentor for both customers and internal team members.   Specific Duties, Activities and Responsibilities Technical - 70% - Large Hospital/IDN level requirement definition, workflow design, policy/procedure definition, education, etc. Project Management - 5% - Meetings, planning, communication, documentation Mentoring - 20% Administrative activity - 5% Performs other duties as assigned Knowledge, Skills and Abilities Communication Facilitation of conference calls and customer meetings primarily for large hospital systems and small/medium IDN’s for BD product implementations. Establish rapport with customers that is conducive to a long term business relationships. Provide team support and product information on BD Medication Systems products as assigned by manager.  Mentors team members to ensure product and process competency. Must be able to manage complex customer teams, gain consensus within teams and deliver concise and consistent communication. Guides the review of customer site assessment and facilitates project design and implementation of BD Medication Systems products and technologies. Technical Demonstrates expert knowledge of large hospital/IDN level pharmacy/clinical workflow processes, hospital formulary build, hospital & pharmacy system integration, clinical device settings, interface validation (ADT, billing, patient profile), user account role design, active directory. Complete pharmacy and clinical pre-implementation assessments and future state design. Ability to interact and guide diverse cross-functional teams with a focus on large hospital and IDN level health systems. Demonstrate expertise of established BD Medical Systems Dispensing product implementation methodologies and tools or equivalent industry standards. Must be detail oriented, able to multi-task and the ability to implement complex multi-site projects consistent with established company and customer objectives. Demonstrates critical thinking and ability to aid customers in improving current business/practice operations including standardization across large hospital and IDN level health systems. Demonstrates advanced problem solving, troubleshooting and system consultation as it relates to pharmacy workflow and best practice considerations and health system standardization. Install and support BD Medical Systems Dispensing software. Mentor team members on products, best practices and customer education. Expected to act as a customer support resource when necessary. Expert with BD Medication Systems Dispensing products. Administrative Coordinate client resources and assign project tasks. Ability to actively lead projects when required. Timely completion of internal company documentation. Timely completion of project documentation. Determines own work priorities. Possess excellent organizational skills with the flexibility to readily adapt to change. Work Environment:Home-based position with 60-80% regional overnight travel. Candidates can reside anywhere in the U.S. near a major airport.  Position requires flexible working hours, including some nights and weekends.  Ability to work independently from home office.      Qualifications   Education or Equivalent: Bachelor’s degree preferred or equivalent education and work experience. Experience or Equivalent: Expertise in HIS/PIS systems and pharmacy and nursing workflow.  Experience with I.V. compounding desired. Eight or more years in healthcare environment with technical (systems) involvement and computerized system applications.  Dispensing software technology experience a plus.  Must have a working knowledge of a variety of software applications, including BD Medication Systems products and exposure to solution design processes.  Experience with integrated delivery networks/large health systems required. Certifications (desired) RPh, Pharmacy Technician, Clinical Informaticist, RN, LPN Physical/Mental Requirements: Must be able to lift a minimum of 40 lbs.  This position may involve pushing, pulling, stooping, bending and lifting CareFusion is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, age, religion, sex, gender identity, sexual orientation, national origin, genetic information, disability status, veteran status, or any other characteristic protected by law.   *LI-AB1 *MSJA Requisition ID :   160500DY Primary Location :   Texas-Dallas Travel :   Yes, 75 % of the Time Schedule :   Full-time Job Posting :   Mar 21, 2016, 12:26:04 PM","Consultant, Product Implementation Description   Life-changers work here At CareFusion, we create innovative ways to help our customers improve patient care. We rely on bold and inspired employees who share our commitment to helping solve some of healthcare's most critical challenges.CareFusion is now part of Becton Dickinson, a global medical technology company focused on addressing many of the world's most pressing and evolving health needs. With our combined technology and expertise, we will become a global leader helping to transform the quality and cost of care for patients and clinicians worldwide. Join us in our mission to improve the future of healthcare and help all people lead healthy lives.   Job Title: Consultant, Product Implementation   Business Description Pyxis® technologies within BD Medication Management Solutions business help prevent medication errors, save time, increase predictability of medication availability and reduce inefficiencies throughout the medication use process. http://www.carefusion.com/our-solutions/medication-management .   Purpose The Consultant, Product Implementation (CPI) is experienced with the implementation of Medication Management Systems at the Large Hospital/IDN level.  This involves extensive customer interaction and relationship development at the Director/Key Stakeholder level.  In addition, the CPI guides the implementation process through demonstrated expertise of clinical and technical processes of Medication Management Systems.  Projects range in scope from large hospital to small/medium IDN level implementations requiring standardization across multiple product lines. The effective CPI must be able to clearly communicate, thoroughly document and demonstrate product implementation competency.  This also involves working with the customer (with focus on large hospital systems to small/medium IDN’s level customers) by gathering customer requirements, defining best practices, design decisions and policy and procedures consulting.  The CPI effectively performs the required tasks to ensure timely Go-Lives and customer satisfaction.  The CPI must have the ability to establish collaborative working relationships with cross-functional project teams.  Project teams will include multiple disciplines from within Medication Systems and customer teams.  The CPI is a mentor for both customers and internal team members.   Specific Duties, Activities and Responsibilities Technical - 70% - Large Hospital/IDN level requirement definition, workflow design, policy/procedure definition, education, etc. Project Management - 5% - Meetings, planning, communication, documentation Mentoring - 20% Administrative activity - 5% Performs other duties as assigned Knowledge, Skills and Abilities Communication Facilitation of conference calls and customer meetings primarily for large hospital systems and small/medium IDN’s for BD product implementations. Establish rapport with customers that is conducive to a long term business relationships. Provide team support and product information on BD Medication Systems products as assigned by manager.  Mentors team members to ensure product and process competency. Must be able to manage complex customer teams, gain consensus within teams and deliver concise and consistent communication. Guides the review of customer site assessment and facilitates project design and implementation of BD Medication Systems products and technologies. Technical Demonstrates expert knowledge of large hospital/IDN level pharmacy/clinical workflow processes, hospital formulary build, hospital & pharmacy system integration, clinical device settings, interface validation (ADT, billing, patient profile), user account role design, active directory. Complete pharmacy and clinical pre-implementation assessments and future state design. Ability to interact and guide diverse cross-functional teams with a focus on large hospital and IDN level health systems. Demonstrate expertise of established BD Medical Systems Dispensing product implementation methodologies and tools or equivalent industry standards. Must be detail oriented, able to multi-task and the ability to implement complex multi-site projects consistent with established company and customer objectives. Demonstrates critical thinking and ability to aid customers in improving current business/practice operations including standardization across large hospital and IDN level health systems. Demonstrates advanced problem solving, troubleshooting and system consultation as it relates to pharmacy workflow and best practice considerations and health system standardization. Install and support BD Medical Systems Dispensing software. Mentor team members on products, best practices and customer education. Expected to act as a customer support resource when necessary. Expert with BD Medication Systems Dispensing products. Administrative Coordinate client resources and assign project tasks. Ability to actively lead projects when required. Timely completion of internal company documentation. Timely completion of project documentation. Determines own work priorities. Possess excellent organizational skills with the flexibility to readily adapt to change. Work Environment:Home-based position with 60-80% regional overnight travel. Candidates can reside anywhere in the U.S. near a major airport.  Position requires flexible working hours, including some nights and weekends.  Ability to work independently from home office.      Qualifications   Education or Equivalent: Bachelor’s degree preferred or equivalent education and work experience. Experience or Equivalent: Expertise in HIS/PIS systems and pharmacy and nursing workflow.  Experience with I.V. compounding desired. Eight or more years in healthcare environment with technical (systems) involvement and computerized system applications.  Dispensing software technology experience a plus.  Must have a working knowledge of a variety of software applications, including BD Medication Systems products and exposure to solution design processes.  Experience with integrated delivery networks/large health systems required. Certifications (desired) RPh, Pharmacy Technician, Clinical Informaticist, RN, LPN Physical/Mental Requirements: Must be able to lift a minimum of 40 lbs.  This position may involve pushing, pulling, stooping, bending and lifting CareFusion is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, age, religion, sex, gender identity, sexual orientation, national origin, genetic information, disability status, veteran status, or any other characteristic protected by law.   *LI-AB1 *MSJA Requisition ID :   160500DY Primary Location :   Texas-Dallas Travel :   Yes, 75 % of the Time Schedule :   Full-time Job Posting :   Mar 21, 2016, 12:26:04 PM"
"Hibernate","JSON","and other frameworks.Advanced knowledge of web service technologies like JAX-RS","\"APC is seeking an Application Architect for a position in Burlington, NC.Job Description:Advance your Information Technology (IT) career at an industry leading HealthCare provider.Corporate IT is actively searching for experienced expert-level Application Architects who will leverage their technology skills to develop business solutions within the healthcare industry.The Application Architect role will be part of newly formed development teams within the client’s organization and contribute to creating and implementing enterprise standards for a web service platform (RESTful APIs).The applicant will be challenged with cutting-edge technologies to provide a modern framework for Java/Linux-based solutions across virtualized machines, and hybrid cloud platforms (IaaS).As part of this transformational team the applicant will enable new business workflows for the company as well as help to build out a new IT infrastructure.These platforms enable rapid delivery for our IT teams.The prospective candidate will be engaged in a wide variety of work, including but not limited to web applications and web service development, platform development, automation, and coaching/mentoring of teams adopting the platforms.The Application Architect will provide technical leadership in our agile development teams.The role will include dealing with complex business integrations, eliciting requirements, and implementing secure and high-performance services consumed by various devices and applications across the organization.The applicant will drive the evolution of our solutions and ensure that we meet our internal and external clients' software requirements.Most importantly, you'll be engaged in meaningful work for an organization that is committed to \"\"helping people live longer and healthier lives\"\" every day.Responsibilities:Develops complex RESTful webservices in a cross-functional and agile development teamProvides architectural guidance to the development team.Contributes to the SOA standards for the companyFollows best practices for test-driven development (unit testing and beyond)Designs functional/system integration tests and automation.Collaborates with Business Analyst on product requirements analysis.Performs code and design reviews with peers.Conducts complex impact analysis.Contributes complex application architecture.Contributes complex technical alternatives.Pushes the envelope with innovative and creative thinkingQualifications:Bachelor Degree in computer science or equivalent technical experience.10+ year experience and expert knowledge of Java (7+) enterprise development.3+ year experience with application architecture for large enterprise solutions.Expert knowledge of JEE compliant application servers (WebSphere preferredExcellent working experience with Spring"
