"Title","Company","Location","Description"
"Technical Support Engineer/Software Systems Installation",,,"Jamex designs, manufactures and supports electronic devices that are used in libraries, universities,public facilities around the world. With a 30+ year history, Jamex is the world leader in costrecovery/vending solutions serving the printer and copier industries.Print management software is broadly used at libraries, schools and in corporate settings. Jamexinstalls and supports leading print management enterprise software solutions.Jamex is looking to hirea technical support person for remote enterprise software installations and technical support of Jamexhardware installed at customer locations. Jamex provides customer support over the phone andthrough screen share/support session technologies.Candidates who have experience installing and servicing copiers and printers in corporate andeducation markets will be given special consideration. Familiarity with CBORD, PaperCut and/orEnvisionWare products is preferred.Candidates must have experience with MAC, Windows and LinuxOS, including installation of software on those platforms, as well as knowledge of computer networkconfigurations. Supporting customers over the phone and through remote screen share supportsessions is an integral part of the Technical Support /Software Installation position. Technical Supportfunctions include the support of hardware that connects with campus ID card systems, credit cardprocessing terminals, stored value card systems, and cash vending solutions connected to printers andcopiers. Candidates must be good communicators with both fellow employees and customers. This is a full - time onsite position, Eligible for company Benefits. Travel is not expected.Job Type: Full-timeExperience:relevant: 2 years (Preferred)Education:Associate (Preferred)Location:Ithaca, NY (Required)Additional Compensation:BonusesWork Location:One locationBenefits:Dental insuranceVision insurancePaid time off"
"Senior Software Engineer - Game Development",,,"Rogue Gaming Studio is an established and independent casino gaming studio in Reno, Nevada. Rogue provides various game design services including mathematical design, art, and field ready software packages.As a Software Engineer at Rogue you will jump into a fast paced iterative development process working with game designers, artists, and other developers to design great games with solid software design principles. You will be developing casino style games and developing/maintain gaming operating systems for Linux platforms with most software written in C++. Engineers are encouraged to continue bettering themselves through learning and applying software design techniques and patterns. Software Engineers will be working within complex systems which require high reliability. Because of our small team, your input will be heard and will affect game design and possibly company direction. Your creativity is required during game development to come up with solutions that are new and exciting.Responsibilities:Develop, test, and troubleshoot casino style games in C++ in a Linux environmentWork closely with cross functional team members to iterate on product designQualifications:Minimum 5 years C++ application development experienceExperience with C++ application development in LinuxExperience working with C++11/14/17Beneficial Skills:Web development experienceSQL/Database experienceOpenGL experienceCMake experienceCasino game development experienceWe offer a full compensation package including competitive salary (dependent on experience), healthcare insurance (medical, dental, vision) and paid time off. Occasional travel required. We are willing to provide relocation assistance to strong candidates. Our downtown location provides lots of great intangible benefits.﻿Education:A bachelor's degree in Computer Science or a related field or equivalent work experience is required.Job Type: Full-timeSalary: $80,000.00 to $120,000.00 /yearExperience:C++: 6 years (Preferred)Education:Bachelor's (Preferred)Location:Reno, NV (Required)Work authorization:United States (Required)"
"Senior Software Development VoIP Engineer",,,"DASAN Zhone Solutions, Inc. – (NASDAQ: DZSI) is a global provider of ultra-broadband network access solutions and communications platforms deployed by advanced Tier 1, 2 and 3 service providers and enterprise customers. Our solutions are deployed by over 900 customers in more than 80 countries worldwide. Our ultra-broadband solutions are focused on creating significant value for our customers by delivering innovative solutions that empower global communication advancement by shaping the internet connection experience. Every connection matters, and the first connection to the internet and cloud services applications matters the most. Our principal focus is centered around enabling our customers to connect everything and everyone to the internet-cloud economy via ultra-broadband connectivity solutions.We research, develop, test, sell, manufacture and support platforms in five major areas: broadband access, mobile backhaul, Ethernet switching with Software Defined Networking (“SDN”) capabilities, new enterprise solutions based on Passive Optical LAN (“POL”), and new generation of SDN/ Network Function Virtualization (“NFV”) solutions for unified wired and wireless networks. We have extensive regional development and support centers around the world to support our customer needs.Dasan Zhone Solutions, Inc. (DZS) is actively seeking a Senior Software Development VoIP Engineer. This team member will be located in Seminole, Florida and will report to Software Development Manager.Job Summary, Key Responsibilities and Qualifications:General Role DescriptionThe core engineering team in Florida is responsible for the development of high-speed, state of the art, network interface devices. Senior Software VoIP Engineers report directly to the Software Engineering Manager and design, develop, validate and maintain embedded Linux Voice over IP (VoIP) applications and drivers for MIPS and ARM microprocessors. Senior Software VoIP Engineers will also work closely with Product Managers, Field Service Engineers, and Test Engineers to develop an understanding of the voice technologies and customer needs.Primary ResponsibilitiesLead a team of engineers to develop, enhance and maintain VoIP drivers and applications for custom hardware platformsManage workload on multiple projects with fast design cycles for a broad family of ONT and CPE productsTeam with Global Service and Support to isolate and diagnose technical issues reported by internal and external customersTeam with System Test/Release Test Lab Engineers to validate product functionalityInteract with other internal functional groups to coordinate technical matter and to contribute technically on projectsMinimum RequirementsBS or Master’s degree in Computer Engineering or Electrical EngineeringMinimum 5 years of embedded Linux software design experienceExpertise in voice protocols and standards (SIP, MGCP, H.323)Excellent oral and written communication skillsStrong C programming skillsExcellent problem-solving, design, development, and debugging skillsStrong interpersonal skills; ability to work collaboratively with peers in cross functional areasExperience with version control and problem tracking systems (ClearCase, Git, and Jira)Experience with Linux drivers (I2C, SPI, USB, UART, SLIC, etc.)Experience with data communication protocols and standards (PPP, DHCP, RADIUS, Routing, NAT, Bridging, VLANs, etc.)Experience with LAN/WAN protocols and standards (Ethernet, GPON, OMCI) desired"
"Software Engineering Manager","Honeywell","Alpharetta, GA 30004","Join a team recognized for leadership, innovation and diversityWe lead with software and innovation.Whether we’re turning mustard seeds into fuel, creating quantum algorithms or making taxis fly, our software engineering team is home to the world’s leading technological talent.We want software engineers who not only have a solid foundation in coding, development, designing, testing and even hacking, but who also have a passion for empowering the world and making it a better place for everyone – today and tomorrow.Be part of a team that designs, develops and integrates highly complex software functions within Honeywell Intelligrated. You will lead and manage a group of hardworking and talented engineers who provide and develop expertise to facilitate the success of software engineering projects and programs.Use your experience and innovative thinking to provide user value added features to our customersHelp strengthen talent through mentoring and assigning appropriate work to improve employee technical and personal growthBuild software solutions by analyzing, crafting, developing, implementing and maintaining Java based components and interfaces in a timely mannerPerform base-line testing of all components, analyze results, document and track issues in our toolkit and work to deliver quality products to customersWe invite you to discover for yourself why a career with Honeywell is the opportunity you've been looking for. YOU MUST HAVEBachelors degree in Engineering or Computer ScienceMaster’s Degree in Software Engineering is a plusAt least five years of Software Engineering technical leadership experienceA minimum of 5 years of JAVA work experienceProficiency in JAVA, data architecture, algorithms, relational database design and Oracle, MS, SQL, and DB2 databasesWillingness to travel minimum 25%WE VALUEUnderstanding of software development lifecyclesExperience in the supply chain / warehouse management domain is very favorableExperience building enterprise-level Java-based software solutions using modern, open source technologies, patterns, and practicesPractical hands-on experience in an agile/scrum environmentExcellent problem-solving skillsAbility to analyze and solve complex technical challengesStrong project management skillsStrong inter-personal, communication, and collaborations skillsAbility to mentor personnelWill you be attending the NBMBAA conference in Houston? Honeywell will be there interviewing top talent! If you are interested in being considered, click here for more details. #futureshaperAdditional InformationCategory: EngineeringLocation: 13560 Morris Road, Suite 3500, 3rd Floor, Alpharetta, GA 30004 USAExempt#CB#INDENG#LI-PS1"
"Director - Software Development Engineering","MetLife","Cary, NC 27518","Job Location: United States : North Carolina : CaryRole Value Proposition:We are looking to enhance the way we stay in contact with our customers, streamline / revamp internal business operational processes, and ensure we stay in compliance with state regulatory requirements. This IT Director role is responsible for the continuous enhancements of various RIS distributed and legacy admin systems and integration with multiple IT systems, both internal and external, following Scaled Agile framework.Key Responsibilities:Leading a team of ~10 FTE & ~40 consultant, both system analysts and software engineers, using Agile methods and Lean principlesEnsure business needs, non-functional requirements, code reviews, performance & stress testing, QA & program management standards are metThought leader for complex integration architecture and understanding sequence of events across systemsOversee software development with a total IT project portfolio of ~10 to $15M annuallyEssential Business Experience and Technical Skills:Accomplished organizational change management experienceMust be proficient in forging partnerships with others to accomplish end game expected resultsAdvanced technical and people problem solving skillsDeep understanding of Service-Oriented Architecture, Microservices, High Scalability and Availability application development best practicesStrong experience with value stream mapping and business operational process simplification and redesign through IT automation and enhancementsSolid estimating experienceStrong vendor management and negotiation skillsSolid experience around information risk, security, PII, SOX and legal compliance requirementsRequired:Bachelors Degree with 10+ years experience leading large scale IT teams7+ years leading multiple Agile teams and programs with expert understanding of Agile and Lean principles3+ years of experience in driving full DevOps software development and engineering practicesExperience in implementing both Cloud/SaaS Solutions & On-Premise SolutionsDiverse experience with a broad range of applications development platforms, technologies, middleware, frameworks and programming languagesBroad experience in software development lifecycle managementAbility to multi-task, and quickly remediate escalations across both IT & Business partnersAbility to build strong relationships w/IT & Business to negotiate & prioritize workStrong communication skills (both written & oral)Demonstrated problem solving & analytical thinking skillsStrong understanding various customer outreach & response handling channels, such as physical mailing/email/web/mobile, etc.Preferred:Insurance / Financial Services industry background2+ years of Microsoft Azure Cloud development and deployment experiencesExperience in effective management of offshore teamsScaled Agile Framework (SAFe) certificationAt MetLife, were leading the global transformation of an industry weve long defined. United in purpose, diverse in perspective, were dedicated to making a difference in the lives of our customers.MetLife is a proud equal opportunity/affirmative action employer committed to attracting, retaining, and maximizing the performance of a diverse and inclusive workforce. It is MetLife's policy to ensure equal employment opportunity without discrimination or harassment based on race, color, religion, sex (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender identity or expression, age, disability, national origin, marital or domestic/civil partnership status, genetic information, citizenship status, uniformed service member or veteran status, or any other characteristic protected by law.MetLife maintains a drug-free workplace.For immediate consideration, click the Apply Now button. You will be directed to complete an on-line profile. Upon completion, you will receive an automated confirmation email verifying you have successfully applied to the job.Requisition #: [[110452]]"
"Software Development Manager","Lavi Industries","Valencia, CA 91355","LAVI INDUSTRIESProducts for People and the Places they go®www.lavi.comSoftware DevelopmentManagerWho We AreLavi Industries is the premier manufacturer of innovativeand software solutions for queue management as well as architectural fixturesfor guiding people in commercial facilities.We are headquartered in Valencia, California with facilitiesin New York and sales offices throughout the US.We pride ourselves in our pursuit of excellence through thededication and integrity of our people since 1979.We offer the right candidate an opportunity to excel in anentrepreneurial environment, as well as an attractive compensation package.Equal Opportunity EmployerCome be a part of ourteam!Job SummaryLavi Industries is currently seeking a Software DevelopmentManager to direct and manage the roadmap and development of Lavi’s queuemanagement software applications. Position is located in Valencia, Ca.You'll make meaningful contributions to the businessstrategy and be able to deliver exciting digital solutions through the leadershipand management of software engineering.The ideal candidate will have experience in managing andgrowing software teams and have a track record of delivering major initiatives.QualificationsAbility to execute cross-platform initiatives, setmilestones for a team and proactively ensure all core goals are met.Desire to be actively involved in the product development,mission, and success of the software deployment.Ability to manage and prioritize multiple softwaredevelopment projects.Highly competent in value engineering and performanceimprovement.Ability to manage a cohesive technical road-map that'saligned with the product roadmap.Highly competent in software development / QA industry toolsand practices such as Visual Studios, Jira, Agile, Open Source, etc.Education andExperience: Bachelor’s degree in Computer Science / Engineering (orsimilar technical degree) or relevant experience. MBA or Masters preferred.5 years of experience leading software development and QAmanagement teams.Relevant experience in managing outsourced softwaredevelopment teams.Job Type: Full-timeLaviIndustries is an Equal Employment Opportunity Employer. All offers of employment are contingent uponsuccessful completion of a post-offer drug screen and background check.Job Type: Full-timeExperience:Software Development: 5 years (Required)Software Project Management: 5 years (Required)Education:Bachelor's (Required)Location:Valencia, CA (Required)Work Location:One locationBenefits:Health insuranceDental insuranceVision insurancePaid time off"
"Senior Software Engineer","firstPRO Inc.","Atlanta, GA 30309","Fast growing company has an immediate need for a Senior Software Engineer on a direct hire basis. This company hires progressive thinkers and needs passionate coders to help them continue to advance their technology. They are moving their tech stack to Angular4, React, and Docker, and you will create and support web application development efforts along with handling the design and build-out of back-end API Microservices. This is a Full Stack development position and you must have worked with Microservices and understand enterprise design patterns. This is a great company offering competitive base salaries, 401K matching, and much more.Requirements:Bachelor’s degree required along with a genuine passion for technology.Experience developing Microservices is a must.4+ years' full-stack software engineering experience - ideally a candidate who has a Java background, big plus working with Scala, Closure, and Angular.Understands enterprise design patterns.Knowledge of HTML5, CSS3, MEAN stack, NPM modules.Experience with RDBMS databases.Job Type: Full-timeSalary: $120,000.00 /year"
"Embedded Firmware Engineer",,,"Embedded Software EngineerRenkus-Heinz is a leading manufacturer of professional loudspeaker systems for use in the installed audio/visual communications market and live sound market. We are based in Foothill Ranch, California and are currently recruiting for an Embedded Software Engineer to join the engineering team.Responsibilities: Design, programming and debugging of embedded software using C, C++, object-oriented modeling, and standard design patterns and techniques.Define test cases and write test automation which effectively validate designs.Ability to analyze and troubleshoot problems, determine root cause, and generate corrective actions.Able to work closely with electronic, system and software design engineers to optimize product performance.Hardware integration and verification for embedded software for microcontroller systems including ARM, RISC processors and peripherals.Ability to work under pressure and manage your time to deliver on deadlines.Participate as a member of a team and contribute to the team’s progress and success.Produce high quality production software using industry best practices.Able to provide technical support and guidance for post release, production systems.Perform other duties as assigned.Qualifications: Bachelor’s degree in Computer Engineering or Computer Science5+ years of experience with developing commercial embedded softwareComfortable working with open source tools/librariesKnowledge of C & C++ programming languagesExperience working in revision control systems such as SubversionWorking knowledge of Microsoft Office applicationsProficient written and verbal communication skillsExperience working with Wireshark or other network traffic analysis tools preferredKnowledge of scripting languages such as Python is preferredExperience with network protocols such as TCP/IP, UDP, Ethernet etc. preferredExperience working with network media protocols such as Dante and CobraNet preferredKnowledge of audio system components and signal paths beneficialJob Type: Full-timeSalary: $85,000.00 to $105,000.00 /yearExperience:Network Protocols: 5 years (Required)TCP/IP: 2 years (Preferred)Communication Skills: 3 years (Preferred)Firmware: 5 years (Preferred)Archival Standards: 2 years (Preferred)Additional Compensation:BonusesWork Location:One locationBenefits:Health insuranceDental insurancePaid time offVisa Sponsorship Potentially Available:No: Not providing sponsorship for this jobSchedule::Monday to Friday"
"Programmer/ Developer/ IT Tech",,,"Wells Gaming Research is seeking a developer who is excited to hone and develop their skills in a full stack web design environment. The developer would be responsible for maintaining the existing stack using a blend of technologies that include, PHP, Perl, Java, JavaScript, CSS, HTML5, jQuery, Git, React and Python. In addition, the developer would also be responsible for the physical maintenance of a small office in Reno, NV including day to day troubleshooting of hardware and software issues on desktop systems. If you are looking for an engaging environment that gives you room to grow and develop then this job is for you.Qualifications· Education: B.S in Computer related field or 2 - 3 years related job experience· Balanced fluency in PHP, Javascript, HTML and CSS or willingness to learn and own the entire Front-End suite· Ability to pass a coding proficiency test· Handle basic administration functions (Git) and provide analysis and documentation of project aspects.· Ability to troubleshoot and repair computers located on premises; tasks may include software troubleshooting, hardware replacement and virus/spyware removal· Ability to work onsite in our Reno office during normal business hours· Ability to pass a company background check· Proficiency in verbal and written English· Ability to communicate professionally with technical and non-technical colleagues and clients· Proficiency in Microsoft Office SuitePreferred Qualifications· Experience creating production quality interactions for web and for mobile web· Experience with Python, Django, React, Java, Perl or GitHub· Experience with PostgreSQL, Database Design, and Backup· Unix/Linux experience and familiarity with Bash.Pay· Commensurate with skills & experienceJob Type: Full-timeExperience:relevant: 2 years (Preferred)Information Technology: 2 years (Preferred)Benefits:Health insuranceDental insurance"
"Software Engineer- Security Engineering",,,"Title:  Software Engineer - Security EngineeringLocation:  Foster City, CAWe are looking to hire a seasoned software engineer to be part of the Security Engineering team, where you will be building and engineering security products utilizing some awesome technology like Rust, Go, Functional Programming, and much more! You will be joining a team of experienced security engineers, as well as world class researchers and experts in the areas of software engineering, artificial intelligence, cryptography, and other related fields to build technologies necessary to secure core infrastructure and assets.Your role: Build, design, engineer, and develop software and services that deliver security functionality and improve security efficiency and capabilities through automation. Possesses software engineering skills needed to build new capabilities and solutions vs. simply integrating an existing open source platform or operating a vendor solution.Refactor and optimize existing code using more robust type-safe and memory safe languages while incorporating faster data piping and parallel processing frameworks.Engineer products and services while accounting for computability and complexity (e.g. NP-complete problems) and security architecture (e.g. memory, cache, deadlocks, etc.)Develop prototypes and algorithms (e.g. searching, sorting, optimization, dynamic programming) while performing data engineering tasks around aggregation and data synthetization from a multitude of structured and unstructured data sources.Assist in shaping overall direction, life-cycle management, and leadership for Information Security architecture and technology.Create requirement and design documents that account for security risks in new or existing systems with architectures to mitigate them within risk appetite.Research and develop security assessments of existing solutions as well as defining security architectures for new solutions.Present results to a cross section of employees, including senior leaders. Utilize graduate-level research and analysis skills.What you’ve got:Required:3+ years of relevant academic or industry experience in software engineeringFamiliarity with common software development toolingKnowledge of programming language theory, type system, and abstraction techniquesExperience with distributed systems and networking preferredData structures and algorithms knowledgeIndependent, self-disciplined, self-motivated, and intellectually curiousPreferred:Experience where you created or maintained a project or a major component.Experience working with functional programming languages like Haskell, Scala, Scheme, Rust, or ClojureFamiliarity with build and deployment systemsSoftware Development, Programming, and debugging using various programming languages and frameworks using Golang or Python or C++Knowledge of NoSQL databases (e.g. MongoDB, Cassandra) is a plusTo find more great tech-centric jobs, please visit www.phoenixstaff.com.Job Type: Full-timeWork authorization:United States (Preferred)Additional Compensation:BonusesWork Location:Multiple locationsBenefits:Health insuranceDental insuranceVision insuranceRetirement planPaid time offRelocation assistanceThis Company Describes Its Culture as:Detail-oriented -- quality and precision-focusedOutcome-oriented -- results-focused with strong performance culturePeople-oriented -- supportive and fairness-focusedTeam-oriented -- cooperative and collaborativeSchedule::Monday to Friday"
"Engineering Manager",,,"Who we are: Backed by QED Investors, Lendeavor is building the modern bank for healthcare providers to help improve the quality of care they provide to millions of patients nationwide. Healthcare professionals are facing increasing financial pressure and a complex landscape of services that are difficult to navigate. We're committed to empowering these professionals with technology-enabled offerings to make it easier for them to obtain the right financial products and services when they need them so that they can focus on what they do best -- providing outstanding care.Our first step was to make streamlined business financing (for example, a $750,000 loan for a dentist to buy her first practice) available to busy healthcare practitioners at their convenience -- instead of during the typical 9-to-5 banker’s hours. On the back end, our software makes our team more efficient at processing -- without the overhead of a brick-and-mortar presence -- saving doctors even more time and money. This efficiency drives faster funding and lower rates. Since making our first loan only three years ago, we’ve become a top lender in the space. Going forward, we’re focused on expanding our service offerings to healthcare professionals with a commitment to simplicity, convenience, and efficiency.What we need: You are passionate about automation and reducing complexity. You are excited about being part of a purpose-driven organization that's helping to reduce the financial burden of healthcare professionals. Building a modern bank requires engineering leaders with expertise in distributed systems architecture, modern web frameworks, and information security best practices. Lendeavor is looking for an experienced Engineering Manager to be a foundational member of the team.What you'll do: Manage a team of software engineers responsible for product deliveryRecruit, train, and develop software engineers and support those engineers in obtaining their professional goalsLeverage a coaching approach to maximize the performance of the teamWork closely with a product leader to develop ideas into features and hypotheses that move the business forwardEnsure the engineering team is meeting its product commitmentsAdvocate, on behalf of engineers, to ensure adequate time is spent on addressing technical debt and other technology initiativesLead an agile process, including daily standups, sprint planning, and retrospectivesLead the team in continuous improvement by adopting lean agile techniques, including 5 Whys analysisContribute feedback to enhance team performance by performing peer code reviews, writing clear documentation, and pairing as neededPartner with product managers to advise on feature-scope trade-offs and assist in the development of clear requirementsWhat you have: B.S. in computer science or equivalent experience7+ years of software engineering experience with 2+ years of experience as a managerDemonstrated experience with Ruby on RailsA solid understanding of software design principles and best practices, including Domain Driven DesignFamiliarity with SCRUM, Kanban, or similar agile development methodologyStrong analytical and technical skillsStrong written and verbal communication skillsPrior startup or growth company experience preferredPrior fintech or financial services experience preferredLendeavor is an equal opportunity employer and dedicated to diversity and inclusion in the workplace. We do not discriminate on the basis of race, religion, color, national origin, sex, gender, gender identity, sexual orientation, age, marital status, pregnancy status, veteran status, or disability status.Job Type: Full-timeExperience:Engineering Management: 2 years (Required)software engineering: 7 years (Preferred)"
"Software Engineer","Liberty Mutual Insurance","Portsmouth, NH 03801","Software EngineerWe deliver our customers peace of mind every day by helping them protect what they value most. Our passion for placing the customer at the center of everything we do is driving a transformational shift at Liberty Mutual. Operating as a tech startup within a Fortune 100 company, we are leading a digital disruption that will redefine how people experience insurance.About the job:Customer Relationship Management (CRM) is seeking an experienced Software Engineer to join our agile squad focused on developing a self-service tool that provides technical support to the global enterprise. In this role you will partner with other developers who’s primary goal is to reduce the incident volume currently supported by the IT Help Desk. You’ll be responsible for system analysis, design, coding, testing, debugging, and documentation. This is a web-based product that is being designed with innovation and forward thinking.The frontend of this product is built on the React app with Node.JS. The team also utilizes additional services in AWS including API’s, Lambdas, and Lex. This is an enterprise wide application that receives over 1500 views per day and over 45,000 unique users per year.Desired Skills:Strong oral and written communication skills; presentation skills.Proficient in new and emerging technologies.Thorough knowledge of the following: IT concepts, strategies and methodologies. Business function(s) and of business operations. Design and development tools. Architectures and technical standards.Thorough knowledge of layered systems architectures and layered solutions and designs; understanding of shared software concepts.Proficiency in multiple programming languages and tools.Understanding of agile software development concepts and processesMust be proactive, and demonstrate initiative and be a logical thinker.Consultative skills, including the ability to understand and apply customer requirements, including drawing out unforeseen implications and making recommendations for design, the ability to define design reasoning, understanding potential impacts of design requirements.Thorough understanding of backlog tracking, burndown metrics, and incremental delivery.Collaboration, prioritization, and adaptability skills required.Benefits:We value your hard work, integrity and commitment to positive change. In return for your service, it’s our privilege to offer you benefits and rewards that support your life and well-being. To learn more about our benefit offerings please visit: https://LMI.co/BenefitsOverview:At Liberty Mutual, we give motivated, accomplished professionals the opportunity to help us redefine what insurance means; to work for a global leader with a deep sense of humanity and a focus on improving and protecting everyday lives. We create an inspired, collaborative environment, where people can take ownership of their work; push breakthrough ideas; and feel confident that their contributions will be valued and their growth championed.We’re dedicated to doing the right thing for our employees, because we know that their fulfillment and success leads us to great places. Life. Happiness. Innovation. Impact. Advancement. Whatever their pursuit, talented people find their path at Liberty Mutual."
"Senior Software Engineer",,,"Our client is seeking a highly skilled Engineer who loves solving complex problems; enjoys building reliable software that integrates with real-world things; and who has an interest in learning and leveraging new technologies.Required QualificationsStrong C++ 11 knowledge, including modern usage of templates, collections, smart pointers, concurrency, and Boost libraries.A strong foundation in Linux. The successful candidate should have a good understanding of and experience with a wide range of standard Linux debugging and monitoring tools.Excellent understanding of web services programming.Excellent Object-oriented design & programming skills. He/she will be expected to have experience and skill in designing modular, concurrent software in response to high level architectural guidance.Experience reading, understanding, debugging, and refactoring legacy code as needed in order to integrate new functionalityExcellent verbal and written communication skills. Strong desire to work in an Agile Team environment.Experience with and commitment to standard quality processes including version control, design/code reviews, defect tracking, and unit testingMinimum of a BSCS or equivalent.Highly Desirable QualificationsExperience with digital video, including transport protocols like RTSP/RTCP/RTP and video codecs.Good understanding of a variety of network protocols, and experience in the use of protocol analyzers like Wireshark.Experience implementing software to interface with external systems, such as sensors and audio/video devices via standard and vendor-proprietary APIs.Personal QualitiesSelf-motivated and have a proven ability to work well in a team environmentAble to learn quickly and willing to share knowledgeJob Type: Full-timeSalary: $130,000.00 to $140,000.00 /year"
"Sr. Software Engineer",,,"QRails is looking for a senior software engineer. QRails is a payments processor for card issuers. We're committed to combining the latest in technology and real customer service to deliver solutions that are flexible, robust, seamless and smart. We are located at the Denver Tech Center.The ideal candidate is a self-motivated, driven, multi-tasker, and demonstrated team-player. A full stack developer is preferred. You will be a developer responsible for the development of new software products and enhancements to existing products. Our company is small, but it is growing quickly.This is a good fit if you mostly enjoy writing code with little interruptionsResponsibilitiesWriting clean, high-quality, high-performance, maintainable codeDevelop and support software including applications, database integration, interfaces, and new functionality enhancementsCoordinate cross-functionally to insure project meets business objectives and compliance standardsSupport test and deployment of new products and featuresParticipate in code reviewsQualificationsBachelor's degree in Computer Science (or related field)Visual Studio 2019/C#/.NET/LINQ/EF/TFS.NET, MVC experience is required, especially an understanding of dependency injection and Aspect Oriented programming.SQL Server and TSQL fundamentalsStandard web UI skills (HTML5/JS (using ECMAScript 6)/some CSS)MVC/MVVM/Web API/REST/Async/Await dev experience.PCI DSS familiarity would help, but at a minimum should understand the basics of app & data securityAt this time, we are not considering consultants, recruiting companies or remote employees. The position is in Denver, Colorado and you would have to come into the officeJob Type: Full-timeSalary: $80,000.00 to $120,000.00 /yearExperience:relevant: 3 years (Preferred)Education:Bachelor's (Preferred)Work Location:One locationRelocation Assistance Provided:NoSchedule::Monday to Friday"
"Sr. Embedded Software Engineer",,,"Embedded Software EngineerPark Assist makes parking garages simpler to navigate, safer, and greener. Our patented technology helps customers effortlessly find parking spaces, minimizing driving time and reducing carbon emissions. Parking operators use our tools to improve customer satisfaction, create new revenue opportunities, and enhance garage security. Over the past decade, we’ve become the industry’s technology leader with installations spanning 35 countries and counting.Park Assist is part of the TKH Group (Euronext: TWEKA), a $1.6 billion publicly traded company headquartered in the Netherlands.The Team:Our Love for Engineering Drives Our Vision for “Really Smart Parking.”We geek out together on interesting problems, and they come in all forms: short-term, firefighting, and long-term vision. Working at a fast-growth company, we, in-turn, are a fast-paced, entrepreneurial group of engineers. Do you have an idea? You’re empowered to put it out there for the team to vet. You could see it come to fruition tomorrow. We aim to fail fast, learn from it, and get the best solutions for our customers as a result. Our camaraderie and mutual respect keep it all fun. Part of the team is housed in NYC. Others are distributed through the Americas. We value being able to move between projects for new challenges.The RoleWork are part of a team completing full cycle product development, from design specifications to final product release and interaction with customerWork closely with hardware engineers & contractors on new product development and debugging existing hardwareMaintain embedded Linux system including kernel, BSP, boot loaderWrite and modify device driversVarious networking and protocols – Ethernet, SCCB, RS245, I2C, PCIImage and video processing in hardware and softwareWork closely with the Computer Vision team to implement new featuresWork closely with Support and Maintenance teams to address issues and roll out updatesAssist Engineering team in developing and maintaining test tools for manufacturing and repairParticipate in architectural design and discussionsTake on projects as a team leader or within a team as neededYouHave worked in teams having brought products to market from concept to commercial offeringHave architectural design experience within a team settingDeftly troubleshoot problemsLove learningValue creativity and initiativeBelieve diversity of thought improves our outcomesJob Type: Full-timeExperience:relevant: 3 years (Preferred)"
"Sr. Software Engineer",,,"Sr. Software EngineerJob Description : The senior software engineer will be responsible for designing and developing various stand-alone and web-based software applications. The senior software engineer will perform architecture design studies, develop detailed workflows, and serve as a technical project lead for the software development team.A strong background in mathematics, computer science and engineering is required. This position requires the successful candidate to be self-motivated and at times work with little supervision. The ability to interact with other professionals in various sectors is critical. Proven success on projects with large scale deployments.The essential roles and responsibilities will include:Architecture development, preliminary design, and detailed design planningImplement and maintain Java applications utilizing the Eclipse IDEImplement and maintain SQL queries for a MySQL databaseAssist senior aerospace engineers with Matlab script debugging, implementation and testingDevelop and execute appropriate test plans/procedures for all aspects of the applicationProvide technical guidance and oversightMinimum Qualifications : Completion of bachelor’s degree in computer science or engineering with a minimum of 7.5 years experience in software design and software development . This position is considered to be leadership position. Qualified applicant must be a US citizen.Location:  Boulder, CO.Job Type: Full-timeExperience:Project Management: 2 years (Required)Software Engineering: 7 years (Required)Location:Boulder, CO (Required)"
