"Field1","Field2","Field3","Field4","Field6"
"Technical Project Manager","PrimeSoft","Washington, DC","Job SummaryWe are actively seeking a talented and experienced technical project manager to oversee DevOps support at a Fortune 500 company in Chevy Chase, MD. You will lead a team of support personnel and a team devoted to automation of self-healing systems (NoOps). We value problem-solving and leadership skills. If you are ready to steer high-level projects to success, we are excited to have you on our team.Job Responsibilities· Communicate proactively with all involved personnel to identify problems, create solutions, and implement efficiency improvements.· Act as a client facing lead for a DevOps support team that covers 24x7 application support.· Manage a team of onsite and offshore engineers that are driving DevOps support automation in support of a NoOps initiative.· Monitor project progress continuously and make detailed reports on measurable metrics and KPIs.· Ability to coordinate among various teams to manage release schedules and coordinate support personnel.· Manage daily activities to maximize scheduling and real-time utilization of resources. Act as a team lead on a cross-functional IT project team, exercising project management skills to plan, develop, implement, coordinate, and lead project activities (e.g., develop feasible milestones, coordinate and plan).· Experience with managing system alerts and coordinating support personnel.· Ability to identify and coordinate process improvements.· Participate in and drive incident and outage callsRequired Job Skills & Qualifications· Bachelor’s degree in engineering, computer science or related field, or equivalent work experience· Experience with DevOps support· Proficiency with Microsoft Azure· Knowledge of PaaS and IaaS· Experience with Scrum methodology· Experience with Splunk and Azure App Insights· Extensive leadership experience and strong teaming abilities· Excellent problem-solving skills· Minimum five years management experience in the IT field, including development work and interactions with customersJob Type: ContractExperience:Project Management: 5 years (Preferred)","- 8 days ago - save jobreport jobIf you require alternative methods of application or screening, you must approach the employer directly to request this as Indeed is not responsible for the employer's application process."
"Project Manager","JP3 Measurement, LLC","Austin, TX","Expertise: Project Management for Customer System DeliveryExperience: 5+ yearsMin. Education: BS in Engineering or related technical fieldLocation: Austin, TXReports to: Director of Project ManagementJob DescriptionGrowing high-tech company seeks an experienced Project Manager to lead project life-cycle support programs for customers in the oil and gas industry. JP3 is a rapidly growing data services company that has introduced a revolutionary new optical analysis system that measures natural gas, condensate and crude oil composition and physical properties simultaneously, in-line and in real-time, and reports them via local and cloud-based data information systems. The Project Manager is responsible for the successful planning, execution and customer acceptance of all orders. Keys to success include the ability to deliver a technical product with hardware, software and cloud-based components on-time and on-scope. The Project Manager must pull together the resources needed to ensure that JP3’s customers experience the highest level of customer satisfaction, which is a priority throughout the company.ResponsibilitiesExecute projects from award to completion:Facilitate the definition of project scope, goals and deliverables;Establish and maintain the project schedule, while coordinating and controlling all required project management systems;Define customer acceptance criteria and successfully close by meeting those criteria;Create detailed work plans which identify and sequence all activities needed to successfully complete the project;Define project tasks and resource requirements;Analyze project profitability, revenue, margins, bill rates and utilization;Facilitate regular project team and client meetings effectively;Acknowledge and recognize each team member’s contributions;Develop good relationships with clients to foster trust and repeat business;Prepare and share project evaluations and assessment of results;Solve critical issues in a time-sensitive, customer-sensitive environment;Successfully transition customers through project acceptance to aftermarket maintenance and support.Serve as the primary liaison with the customer and be willing to travel for face to face interactions when necessary (approximately 25% of the time).Prepare and present on data performance metrics through the life of the system.Work with Sales to deliver life-cycle support and maintenance programs, ensuring customer satisfaction throughout entire system life.Work effectively with all functional groups within JP3 including Operations, Engineering, R&D, Software Development and Data Solutions to communicate status and troubleshoot issues as they arise.Simultaneously manage multiple projects and teams dispersed in different locations.Learning/Understanding different applications across the industry and their systematic relationship to an analyzer and its critical data outputs back to the customer.RequirementsTrack record of successful project management of highly technical products and services in the energy industry (oil and gas experience highly preferred);Willingness and ability to learn the technical aspects of JP3 technologies and data services;PMP Certification (highly preferred);Experience with and ability to use industry standard project management tools and processes;Excellent written and verbal communication and interpersonal skills, including the ability to communicate effectively to customers and internal stake holders;Flexibility of schedule and ability to travel as needed;Undergraduate degree in Engineering or a related technical field, or Undergraduate degree in Business with significant experience managing technical projects;Minimum 5 years of experience in customer facing project engineering or project management role within a technical Industry;Valid driver’s license (with no restrictions) and proof of legal right to work in US.BenefitsMedical and dental/vision plans. Company pays 75% of premiums for employee and all dependents;Short term and long term disability plans;$100k of life insurance for employee;401(k) plan;Bonus plan.","JP3 Measurement, LLC - 30+ days ago - save jobreport job - original jobIf you require alternative methods of application or screening, you must approach the employer directly to request this as Indeed is not responsible for the employer's application process."
"Technical Project Manager","LookingPoint","Pleasant Hill, CA 94523","We are excited to announce the opening of a Technical Project Manager role in our Project Management Office. This position will allow you to be a member of an elite team of project managers and network engineers playing a key role in our service delivery team. This is a full-time onsite position located in Pleasant Hill, CA. Applicants must reside within commute distance from Pleasant Hill, CA.The Technical Project Manager (TPM) is responsible for providing technical project planning, management and oversight for project execution, ensuring first that these projects are closely aligned with LookingPoint’s Project Management Methodologies, and second, that these initiatives and projects are completed on-time, within scope and budget and with an extremely high quality of deliverables.The TPM will ensure the optimum mix of schedule and resources throughout the life cycle (design, configuration, deployment, testing and validation) of each project. The TPM leads and manages project and program initiatives for the more complex technologies and higher touch customers. The TPM acts as a project management technical lead and is responsible for working with LookingPoint customers to deliver technical solutions in the form of new and enhanced infrastructure and technology solutions.The TPM manages all phases of project delivery including: assessment, design, configuration, build, testing and training, and deployment. The TPM is accountable for all aspects of project management including all project resources (including partners/subcontractors), project planning, scheduling, risk management, budget (scope management), internal and external communications, and status reporting.Responsibilities· Ability to lead and motivate project teams and interact with all levels· Schedules and monitors work ensuring that project tasks are in alignment with project objectives, on-time and within budget· Manage and appropriately escalate: delivery impediments, risks, issues, and changes associated to the project scope throughout the duration of the project via proper change management including ownership of process, approval and documentation· Actively monitor and control all project resources, budget, risks while ensuring customer alignmentObjectives · Excellent verbal and written communication skills and the ability to interact professionally with a diverse group of customers, engineers and subject matter experts· Effectively identifies, clarifies and communicates project vision, goals and objectives· Maintains accurate program estimates, timelines, project plans, status reports· Ensures all the required project documentation is produced and reviewed· Manages and tracks project progress and reports status to Project Management Office· Understands, tracks and articulates issues / risks / action items; work with responsible owners to address the items on a timely basis; update the appropriate stakeholders as needed· Resolves conflicts by demonstrating leadership and appropriate decision-making competenciesQualifications: · PMP certification required· 5-7+ years of Technical Project Manager experience (in a consulting environment a plus)· Possess strong knowledge of Cisco IT infrastructure including network, security, data center, unified communications and cloud solutions· Experience working in a consulting environment a big plus· Strong sense of personal responsibility and accountability for delivering high quality work· Self-motivated individual that possesses excellent time management and organizational skills· An ability to quickly identify and drive to the optimal solution when presented with a series of constraints· An ability to drive to big picture goals and milestones while maintaining a strong attention to detail· Proven capabilities with people management, strategic planning, risk management, change management, project management· Possess excellent judgment, analytical thinking, and problem-solving skills· Strong oral and written communication skills and the ability to present a polished, professional, and diplomatic image to the customer and project stakeholdersWe are a San Francisco Bay Area centric consulting company specializing in Unified Communications, Security, Routing/Switching, Wireless, Data Center & Hybrid Cloud technologies. The company environment is fast paced, challenging and exciting. Our company culture is critical to our success, and your ability to fit into this company culture is imperative.Job Type: Full-timeExperience:Project Management Methodology: 4 years (Preferred)Location:Pleasant Hill, CA (Required)License:PMP (Preferred)Work Location:One locationBenefits:Health insuranceDental insuranceVision insuranceRetirement planPaid time offProfessional development assistanceSchedule::Monday to Friday","- 11 days ago - save jobreport jobIf you require alternative methods of application or screening, you must approach the employer directly to request this as Indeed is not responsible for the employer's application process."
"Technical Project Manager","Hahn Automation","-","Technical Project Manager – Engineering Thanks to state-of-the-art technologies, comprehensive expertise, innovative strength and the special commitment of our customers, HAHN Automation is one of the world's leading mechanical engineering companies. We develop innovative solutions that automate the production processes of numerous well-known customers. HAHN is looking for an experienced Project Manager to lead our team.The Project Manager is accountable for all aspects of the project including delivery, performance to schedule, performance to budget and cash flow, and customer satisfaction.What is it like working for Hahn Automation?Our teams collaborate cross-functionally solving practical problems with no standard solution resulting in innovative outcomes.We thrive on innovation and thinking outside the box, every project brings new technologies and lessons learned.The work provides diverse experiences that strengthen and challenge creativity, assertiveness, quick thinking, and a general love for learning.Our work provides diverse experiences that strengthen and challenge creativity, assertiveness, quick thinking, and a general love for learning that provides personal and professional development.Responsibilities: Plan and monitor/control the project from the receipt of the order through installation at the customer's sitePreparation and review of scope documents, job specifications, proficiency evaluation, price negotiations and contract terms.Manage the schedule of all project phases and milestones, update schedules and initiate corrective action through the department managers.Supervise and oversee the design and build teams to complete projects efficiently according to established schedules and budgets while adhering to specified quality standardsManage changes to project scope of work, including quoting change orders with the support of Sales.Manage risks of all projectsPrepare and lead weekly project team meetings/project review meetingsCoordinate the work of the members of the project team to ensure that goals and objectives are accomplishedRequirements: Minimum of 5 years’ experience in a similar industry leading multi-disciplined project design and construction teamsPractical working knowledge of robots, PLC’s, instrumentation or other machine controls packages, sensors, hydraulics and pneumaticsDemonstrated skills to guide timeline from specification to successful implementationStrong presentation and interpersonal skills with internal/external customersAbility to work effectively with customers according to deadlines and under pressure-filled conditionsBS in Mechanical or Electrical Engineering or equivalentSelected candidate will be required to pass a pre-employment drug screen and criminal background check.We are an equal opportunity employer, applicants must be currently authorized to work in the United States on a full-time basis; we are unable to sponsor H1B visas at this time.Job Type: Full-timeExperience:Project Management: 5 years (Preferred) * Practical working knowledge of machine automation: 3 years (Preferred)Required travel:25% (Preferred)","- 5 days ago - save jobreport jobIf you require alternative methods of application or screening, you must approach the employer directly to request this as Indeed is not responsible for the employer's application process."
"Technical Deployment Project Manager","DXC Technology","New Orleans, LA","As the world’s leading independent, end-to-end IT services company, DXC Technology (NYSE: DXC) leads digital transformations for clients by modernizing and integrating their mainstream IT, and by deploying digital solutions at scale to produce better business outcomes. The company’s technology independence, global talent, and extensive partner network enable 6,000 private and public-sector clients in 70 countries to thrive on change. DXC is a recognized leader in corporate responsibility. For more information, visit www.dxc.technology and explore thrive.dxc.technology, DXC’s digital destination for changemakers and innovators.The Technical Deployment Project Manager is responsible for managing and leading agile projects to enable deployment of automation solutions across a wide cross-capability portfolio of assets. He/She applies understanding of the technical aspects of the automation solutions vs the environments of target areas/accounts to determine opportunities to deploy. Ensure timely completion and progress update of deliverables by working with key stakeholders like product management team, content factory, account teams and delivery SMEs in a regional cross-functional team set up. Keep deployment and enrollments tools updated with latest statuses, issues and risks. Cross-skill and gain experience in a wide portfolio of automation assets under Bionix automation.Job specifics/responsibilities:  (specific day to day responsibilities and duties of the role)Leading several parallel projects for deployment and enablement of automation solutions part of wide cross-capability portfolio of assets.Ensure timely completion of deliverables by working closely with key stakeholders like product management & engineering, delivery SMEs, account stakeholders etc.Attain comprehensive technical understanding on the automation assets in your focus area.Engage stakeholders to demonstrate automation solution capabilities for accelerated deployment.Provide timely feedback to stakeholders by communicating progress and updates.Keep deployment and enrollments tools updated with latest statuses, issues and risks.Derive/analyze account requirements to define automation pre-requisites, assess feasibility and provide consultation for delivery SMEs.Educate and clearly communicate the benefits of automation assets to key stakeholders.Work with the squad leads to define outcome metrics to be tracked and create reports and dashboards as required.Cross-skill and gain experience in a wide portfolio of automation assets under Bionix automation.Facilitate trainings on automation tools with a decentralized development model for target stakeholders.Consistently apply quality standards by following company processes, guidelines and values.Key deliverables/accountabilities: (key deliverables the employee should be accountable of)Provide assessment of target areas/accounts to determine scope of Bionix opportunities.Saturation of portfolio of assets via completion deployment activity.Ensure utilization of portfolio of assets post deployment completion.Maintain strong relationships with key stakeholders to ensure traction and sustain ownership of deployments.Keep deployment progress and statuses up to date in tracking tools.Continuous learning and cross skilling of all aspects of Bionix including Lean and Analytics.Working relationships:  (list the functions of the main stakeholders the employee will need to communicate with)· Maintain strong relationships with key stakeholders in account teams and delivery including Account Delivery Leads, Account Run Leads, Delivery/Hub/Cluster Leads, Delivery SMEs.· Educate stakeholders on the value of Bionix.· Is perceived as a trusted Bionix advisor.· Actively engages account and delivery teams in assessment & deployment of Bionix portfolio of assets· Partners with Product Managers, Content Factory, Adoption Leads, Account and Delivery representativesEducation (degree) and professional experience required: Bachelor or Master degree in computer science, information technology, information systems or similar8 years of experience in leading medium-scale projects for tools/solutions & automation deployment in an enterprise environment.Good understanding of operating system platforms, cloud technology, enterprise workflow toolsets, networking systems, middleware technologies.Candidates with experience in either infrastructure support, apps support, apps development, SAP, testing teams, BPS or service desk.Experience working in a global enterprise with distributed teams.Experience working in Agile teams.Other requirements: (language and certification requirements, different than formal education)Fluent in written and verbal EnglishITIL certification is an advantageAgile/Scrum methodologyPersonal skills and qualities: Self-motivated and independent.Fast learner with a technical background.Desire to learn new topics like Data Analytics and Lean.Good communication skills - verbal and written.High degree of professional and business ethics.Technical skills: (procedures and documents the employee has to be acquainted with):Operating System PlatformsCloud TechnologiesEnterprise Workflow/ITSM toolsNetworking SystemsMiddleware TechnologiesMS OfficeAutomation Tools – RPA, Scripting, System Management Solutions, Apps Monitoring/Testing/Development SolutionsJob Type: Full-timeExperience:Project Management: 4 years (Required)Work Location:One locationBenefits:Health insuranceDental insuranceVision insuranceRetirement planPaid time offRelocation assistance","- 5 days ago - save jobreport jobIf you require alternative methods of application or screening, you must approach the employer directly to request this as Indeed is not responsible for the employer's application process."
"Consulting Project Technical Manager","Oracle","-","Consulting Project Technical Manager-19001BLGNo Visa Sponsorship is available for this position.Preferred QualificationsOracle Consulting Tech Delivery Project ManagerPreferred Qualifications:ScopeA Project Manager owns the planning, execution, and delivery of customer implementations of Oracle application, software, Engineered Systems/hardware and Cloud projects. Project Managers will deliver projects using Consulting methods and governance systems. Typical day-to-day project activities include: driving project schedules, anticipating risk and variance, cost containment and disruption handling, managing all project resources, and project communications. Project Managers are leaders in Consulting and will be directing and influencing the customer in the areas of customer-side project involvement, operational readiness, and the overall relationship.Responsibilities:Single point of contact for all assigned projects with responsibility for project deliverables, goals, and qualityLead project team of diverse skills and working stylesManage project schedule, issue/risk register, resources, and communicationAssign and facilitate tasking into all team members controlling priority, status, and visibilityManage project scope and execute appropriate change requestsManage project financials including revenue forecast, project margin, and project cash flowManage relationships throughout the customer organization including all project team members, business contributors and stakeholders, and executive management.QualificationsAt least 5-10 years experience as a project manager leading successful application/software, and/or hardware/technology implementations (including Sun or Oracle Engineered Systems)Understanding of efficient business processes (sales, order management/logistics)Strong communication skills with experience developing and managing customer relationshipsHigh motivation and desire to do whatever it takes to help the customer and our company succeed.Detailed Description and Job Requirements As a recognized authority and leading contributor, this project management professional, provides consistent innovative and high-quality solution leadership. Responsible for guiding the successful implementation of non-routine and complex business solutions ensuring high quality and timely delivery within budget to the customer’s satisfaction.Analyzes business needs to help ensure Oracle’s solution meets the customer’s objectives by combining industry best practices and product knowledge. Effectively applies Oracle’s methodologies and policies while adhering to contractual obligations, thereby minimizing Oracle’s risk and exposure. Exercises judgment and business acumen in selecting methods and techniques for effective project delivery on small to medium engagements. Provides direction and mentoring to project team. Effectively influences decisions at the management level of customer organizations. Ensures deliverables are acceptable and works closely with the customer to understand and manage project expectations. Supports business development efforts by pursuing new opportunities and extensions. Collaborates with the consulting sales team by providing domain credibility. Manages the scope of medium sized projects including the recovery of remedial projects.5-10 years of experience relevant to this position. Prior project team leadership or management experience. Demonstrated ability to follow solid project management principles. Comfortable working in a matrix management environment. Strong communication skills to deal with internal stakeholders, customers, and vendors. Product, technology or industry expertise relevant to the portfolio focus. Selling skills preferred. Undergraduate degree or equivalent experience. Ability to travel as needed.Detailed Description and Job RequirementsAs a recognized authority and leading contributor, this project management professional, provides consistent innovative and high quality solution leadership. Responsible for guiding the successful implementation of non-routine and complex business solutions ensuring high quality and timely delivery within budget to the customer’s satisfaction.Analyzes business needs to help ensure Oracle’s solution meets the customer’s objectives by combining industry best practices and product knowledge. Effectively applies Oracle’s methodologies and policies while adhering to contractual obligations, thereby minimizing Oracle’s risk and exposure. Exercises judgment and business acumen in selecting methods and techniques for effective project delivery on small to medium engagements. Provides direction and mentoring to project team. Effectively influences decisions at the management level of customer organizations. Ensures deliverables are acceptable and works closely with the customer to understand and manage project expectations. Supports business development efforts by pursuing new opportunities and extensions. Collaborates with the consulting sales team by providing domain credibility. Manages the scope of medium sized projects including the recovery of remedial projects.8-10 years of experience relevant to this position. Prior project team leadership or management experience. Demonstrated ability to follow solid project management principles. Comfortable working in a matrix management environment. Strong communication skills to deal with internal stakeholders, customers, and vendors. Product, technology or industry expertise relevant to the portfolio focus. Selling skills preferred. Undergraduate degree or equivalent experience. Ability to travel as needed.Oracle is an Equal Employment Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender identity, disability and protected veterans status or any other characteristic protected by law.Oracle is an Affirmative Action-Equal Employment Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender identity, disability, protected veterans status, age, or any other characteristic protected by law.","Oracle - 30+ days ago - save jobreport job - original job"
"Director - Software Engineering","Daikin/Goodman Manufactruing","Waller, TX 77484","Director, Software Engineering· Lead software development team to develop, document and maintain full stack web-based mission critical applications.· Develop and manage software engineering applications utilizing standard development tools.· Provide technical consultation as well as expertise to Product and Software Engineering Managers.· Stimulate hiring, career plans, training as well as performance reviews for software engineering team.· Develop and/or review documents related to product requirements, participate in product brainstorming sessions, and propose solution methodologies to deliverables.· Provide employee coaching, mentoring, development, and team building.· Head responsibility to analyze, design, develop, and support software application systems.· Provide technical leadership, management, and technical vision to entire engineering team.· Maximize contributions of team members, and ensure on time delivery of product deliverables· Develop and implement software engineering plans appropriately.· Manage software engineering schedules, budget and resource allocation.· Manage joint development with 3rd party vendors, as well as outsourced development.· Assist software development team to attain optimal team performance through removing technical and organizational obstacles.· Interact with different members to ensure successful delivery of each sprint iteration and product release.· Proactively design, execute, utilize, and maintain software engineering applications, on schedule.· Supervise development of software engineering staff.· Assign work to software engineering personnel and evaluate plus manages their performance.· Support recruiting engineering personnel, technical staffing, and project team formation.· Manages continuing support and provides system metrics for client facing products.· Present practical input for strategic technology decisions.· Supports preparation of technology roadmap, drives consistent vision across software engineering organization, and implementation of the product roadmap.· Comply with all professional departmental as well as company best practices.· Provides project management backup as required.· Assist in the translation of business requirements into technical needs and actions.· Supervise reporting responsibility for independent software contractors, software engineers and outsourcing partners.· Promote best practices, and drive the adoption of new technologies to enhance products, improve performance, streamline processes and code, and ensure high qualityQualifications:5- 10 years experience leading teamsBSC. Or Master Degree in Computer Science or any related area with strong programming experienceJob Type: Full-timeExperience:relevant: 5 years (Preferred)Education:Bachelor's (Preferred)Work Location:One locationBenefits:Health insuranceDental insuranceVision insuranceRetirement planPaid time offRelocation assistanceVisa Sponsorship Potentially Available:No: Not providing sponsorship for this jobThis Job Is Ideal for Someone Who Is:High stress tolerance -- thrives in a high-pressure environmentAdaptable/flexible -- enjoys doing work that requires frequent shifts in directionPeople-oriented -- enjoys interacting with people and working on group projects","- 12 days ago - save jobreport jobIf you require alternative methods of application or screening, you must approach the employer directly to request this as Indeed is not responsible for the employer's application process."
"Engineering Project Manager","Point Blank Enterprises, Inc.","-","JOB TITLE: [ENGINEERING] PROJECT MANAGERDEPARTMENT/LOCATION: Program Management/NPDREPORTS TO: VP/Director/Program ManagerFLSA STATUS: ExemptPOSITION SUMMARY: Supports management of programs to ensure they are executed as planned and that customer and regulatory requirements are met.ESSENTIAL DUTIES AND RESPONSIBILIES:Support the management of Programs from conception through completion while meeting all internal, customer, and regulatory requirements as per TPG’s Gate Process [TPG-SOP-GATE];Provide support to project management to ensure project goals and deliverables are met;Support and/or manage project budget;Provide technical interface between external supply base, program development leaders and Design & Process Engineering to meet defined technology objectives, as required;Ensure effective communication with customers and interested parties throughout project life cycle;Communicate project expectations to team members and stakeholders in a timely and clear fashion, as required;Attend relevant internal and external technical meetings and design reviews, as required;Participate in product verification and validation activities, as required;Provide training and/or installation support to Customers and End-Users, as required;Ensure all technical documentation is generated in compliance with TPG’s Change Control procedure and Configuration Management processes;Proactively support changes in project scope, identify risk, and support contingency and risk mitigation plans;Collaborate with other engineering functions within TPG to aid and assist in project/product transitions;Support the quoting and proposal process by providing technical information, NRE, travel, labor, and special testing costs, as required;Participate in the Contract Review and Contract Kick-Off process; andParticipate in USG, Customer, and Third Party audits, as required.Other duties may be assigned to meet business needs.QUALIFICATIONS/REQUIREMENTS: Program Manager must have the ability to read, analyze, and interpret technical documents, standards, and specifications. Needs a strong working knowledge of relevant software (e.g., MS Word, PowerPoint, Excel, Project, Solid Works and/or AutoCAD). Needs to exhibit strong leadership and decision-making skills, and the ability to operate under pressure. Must have strong decision making skills, work well in diverse groups, and exhibit excellent organizational, technical and communication (oral and written) skills in the English language.OTHER QUALIFICATIONS: Ability to safely and successfully perform essential job functions consistent with the ADA, FMLA, and other federal, state and local standards, including meeting qualitative and/or quantitative productivity standards. Ability to maintain reasonably regular, punctual attendance consistent with the ADA, FMLA, and other federal, state and local standards.Compliance with all personnel policies.This position requires use of and access to information that is subject to the International Traffic in Arms Regulations (ITAR). Accordingly, all Project Managers must be U.S. persons within the meaning of ITAR. ITAR defines a U.S. person as a U.S. Citizen, U.S. Permanent Resident (i.e. 'Green Card Holder'), Temporary Resident, Political Asylee, or Refugee.This position also requires eligibility for a government security clearance.PHYSICAL DEMANDS: The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.Regularly required to stand or sit, and move about the facility. Employee may occasionally lift or move up to 35 lbs.WORK ENVIRONMENT: The work environment characteristics described here are representative of those an employee encounters while performing the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.Work usually performed in an office setting. The noise level in the work environment is usually moderate. Occasional work performed in production setting.EDUCATION/TRAINING/EXPERIENCE:Engineering Project Manager: Bachelor’s Degree (BS) in Engineering with 2+ years’ work experience in a related field preferred. Experience should include estimating resources needed to achieve project goals, drafting and submitting program/proposal documentation, and developing and managing schedules. Experience should include project engineering, program management and budget development or planning.Project Manager: Bachelor’s Degree (BS) in management or other related field (MS preferred). Alternatively, military experience and 2+ years direct work experience in a project management capacity preferred. Experience should include estimating resources needed to achieve project goals, drafting and submitting program/proposal documentation, and developing and managing schedules. Experience should include project engineering, program management and budget development or planning.Job Type: Full-time","- 30+ days ago - save jobreport jobIf you require alternative methods of application or screening, you must approach the employer directly to request this as Indeed is not responsible for the employer's application process."
"Technical Project Manager","Wildcard Corp.","Stevens Point, WI 54481","What does a day as a project manager at Wildcard look like? Daily you will be in charge of checking in with the team assigned to your projects, allocating resources and tasks, and making sure that the developers or designers are getting everything they need to be successful on the project. You will be in contact with our clients, ensuring they are receiving timely and accurate answers to whatever issues, concerns or questions they might have. You keep things moving. People love working with you because you engage all the right players and you know how to get stuff done. Here at Wildcard, innovation and problem-solving are at the core of what we do. If you are a motivated, self-starter who is ready to learn, take on new challenges, and can effectively collaborate on projects, you just might be the next addition to our team we are looking for! *Why should you work at Wildcard Card? Our office environment is unique and provides many benefits. Not only can you flex your schedule and work hours as needed, but we don't require our salaried staff to punch a clock. We firmly believe in giving our staff the freedom and flexibility they need to take care of their personal lives. We offer a full health insurance plan with dental, personal time off and paid holidays.**This is a full-time position at our Stevens Point offices with full benefits. You must be a U.S. Citizen to be considered for this position due to contracting requirements. No one on a Visa will be considered.**ResponsibilitiesDevelop project scopes and objectives involving all relevant stakeholders and ensuring technical feasibilityProvide the following for each project:Team communication, documentation and everyday management of projectsPrioritize, initiate, plan, execute, monitor/control and close projectsPerform quality assurance and risk management checks throughout project cycleProvide project budget and scheduling estimation and managementCoordinate project team members, internal resources, departments and 3rd parties to ensure proper scheduling to meet project timelinesManage changes to the project scope, project schedule, and project costs using appropriate verification techniquesReport and escalate to Department Head or CEO as neededSuccessfully manage the relationship with the project team, client, all stakeholders and third partiesRequirementsBachelor's Degree in the fields of computer science or software engineering2+ years of project management experience, preferably in the information technology sector desired but not requiredExperience using agile project management methodologies (Scrum, Kanban, etc.) desiredPMP Certification desiredSolid technical background with experience in software development and web technologiesAbility to facilitate meetings, work effectively with cross functional groupsProficient understanding of code versioning tools (Such as GIT) desiredExperience with project management technologies (Such as Jira) desiredExcellent client-facing and internal communication skillsExcellent written and verbal communication skillsSolid organizational skills including attention to detail and multitasking skillsSignificant ingenuity and flexibility is expected**BenefitsCompetitive compensationHealthcare with DentalPaid vacationPaid sick daysPaid holidaysFlexible scheduleRelocation assistance available**HOW TO APPLYIf you are interested in this position please send your resume and cover letter to us in PDF format, please include a link to your GitHub profile if you have one. The subject line should be Resume for Technical Project Manager 2019. All applicants will have to pass a background check as well as qualify for employment with E-verify.**Wildcard Corp. is an Equal Opportunity employer. The policy of Wildcard Corp is to fully comply with applicable federal, state and local laws, rules and regulations in regards to non-discrimination in the workplace. It shall be the policy of Wildcard Corp to not discriminate due to race, color, religion, sex, sexual preference, national origin, disability, age, military status or veteran status.**Principals only, staffing agencies do not contact.No RecruitersMUST BE A US CITIZEN*Job Type: Full-timeSalary: $60,000.00 /yearExperience:relevant: 2 years (Preferred)Project Management: 2 years (Preferred)Education:Bachelor's (Preferred)Location:Stevens Point, WI (Required)License:PMP (Preferred)Work authorization:United States (Preferred)Additional Compensation:BonusesWork Location:One locationBenefits:Health insuranceDental insuranceVision insuranceRetirement planPaid time offFlexible scheduleParental leaveRelocation assistanceTuition reimbursementThis Company Describes Its Culture as:Detail-oriented -- quality and precision-focusedInnovative -- innovative and risk-takingTeam-oriented -- cooperative and collaborativeCompany's website:wildcardcorp.comSchedule::Monday to Friday","- 30+ days ago - save jobreport jobIf you require alternative methods of application or screening, you must approach the employer directly to request this as Indeed is not responsible for the employer's application process."
"IT Project Manager","American Access Casualty Company","-","We are currently seeking a talented IT Project Manager to join our team. The IT Project Manager is responsible for planning, overseeing and leading projects from ideation through to completion within an Agile/Scrum environment. This is a senior role and requires interaction with a range of internal and external stakeholders, most often managing several moving project parts simultaneously.Essential Duties and Responsibilities:Consults with product owners and project stakeholders to determine goals, time frame, funding limitations, and procedures for accomplishing project, staffing requirements, and allotment of resourcesDevelops project plans specifying goals, strategy, staffing, scheduling, identification of risks, contingency plans, and allocation of available resources.Formulates and defines technical scope and objectives of project.Identifies and schedules project deliverables, milestones, and required tasks.Measure project performance to identify areas for improvementFacilitates discussions and consensus among various project stakeholders, such as analysts, application developers and business unitsDirects and coordinates activities of project team to ensure project progresses on schedule and within budget.Establishes standards and procedures for project reporting and documentationPrepares project status reports and keeps executives, stakeholders, project team, and others informed of project status and related issues.Confers with project team to provide technical advice and resolve problems.Coordinates and responds to requests for changes from original specifications.Develops business processes that ensure developed application meets all project requirements.Coordinates project activities with software development team, product owners, and business units to ensure goals and requirements are met.Prepares and presents the statement of work and proposals for identified clients in conjunction with account management.Other duties may be assigned.Job Requirements:Bachelor's degree in Business Administration, Information Technology, Engineering or Computer Science.Five or more years of experience in a Project Management role, with at least two years working in an Agile environment.Proven ability to solve problems creatively.Strong familiarity with project management software tools, methodologies, and best practices.Experience seeing projects through the full life cycle.Excellent analytical skills.Strong interpersonal skills and extremely resourceful.Proven ability to complete projects according to outlined scope, budget, and timeline.Strong Communication skills and tech expertise.Capacity to manage high stress situations.Leadership skills.Big-picture thinking and vision.Benefits to Full Time Employees:Generous paid time off packageMedical & Dental Plans401k Retirement Plan with employer matchCompany paid STD/LTDCompany paid life insuranceAbout American Access Casualty Company:American Access Casualty Company AACC is a fast-growing, highly successful private passenger automobile insurance company located in the western suburbs of Chicago. We're 'driven to do the right thing at every turn'. We're proud of the values that we hold dear. We believe these values are what separates us from the competition, and what allows us to best serve all of our customers and business partners.We STRIVE every day to live these values.ServiceGoing the extra mile for our teams and customers no matter the obstaclesTeamworkBringing out the best in each other and knowing how our role impacts othersRespectWalking in each other's shoes to appreciate their perspectiveIntegrityDelivering on our promises without shortcutsVisionSeeing a better future through innovationExcellenceKnowing that good enough is not enoughInformation Technology","American Access Casualty Company - 3 days ago - save jobreport job - original job"
